dataset,model,strategy,fold,repeat_seed,corr_prune_threshold,ranked_features,ranked_scores
Superconductor,ridge,shap,2,42,0.9,wtd_gmean_atomic_radius|wtd_mean_atomic_radius|range_fie|std_ElectronAffinity|wtd_gmean_ElectronAffinity|std_fie|wtd_mean_ElectronAffinity|range_ElectronAffinity|wtd_mean_ThermalConductivity|wtd_entropy_Valence|wtd_entropy_atomic_radius|gmean_Valence|std_atomic_radius|entropy_atomic_mass|mean_atomic_radius|gmean_atomic_radius|mean_fie|mean_Valence|range_FusionHeat|wtd_std_ThermalConductivity|wtd_std_ElectronAffinity|wtd_std_fie|wtd_entropy_fie|wtd_gmean_Density|entropy_FusionHeat|wtd_std_atomic_radius|wtd_gmean_ThermalConductivity|wtd_std_Valence|gmean_fie|mean_Density|range_atomic_radius|wtd_mean_FusionHeat|entropy_Density|std_FusionHeat|entropy_Valence|wtd_range_ElectronAffinity|range_Valence|wtd_range_fie|mean_atomic_mass|wtd_gmean_FusionHeat|range_ThermalConductivity|wtd_range_ThermalConductivity|gmean_ElectronAffinity|wtd_entropy_ThermalConductivity|entropy_ThermalConductivity|wtd_entropy_FusionHeat|wtd_entropy_ElectronAffinity|mean_FusionHeat|wtd_entropy_atomic_mass|gmean_FusionHeat|number_of_elements|wtd_mean_fie|wtd_std_atomic_mass|wtd_mean_atomic_mass|range_atomic_mass|std_Density|std_ThermalConductivity|wtd_range_Valence|mean_ThermalConductivity|std_Valence|mean_ElectronAffinity|wtd_range_FusionHeat|wtd_range_atomic_mass|gmean_ThermalConductivity|wtd_mean_Density|wtd_std_Density|wtd_gmean_atomic_mass|wtd_gmean_Valence|wtd_range_atomic_radius|entropy_ElectronAffinity|wtd_entropy_Density|gmean_Density|wtd_gmean_fie|range_Density|wtd_range_Density|std_atomic_mass|wtd_mean_Valence|gmean_atomic_mass|entropy_fie|entropy_atomic_radius|wtd_std_FusionHeat,22.962504111|21.1677560185|20.476546281|19.785847426|18.6587243128|17.5105702828|17.0648810654|14.7267472237|12.6978267439|12.2414902109|11.1792006272|10.9106684951|10.863423912|10.6197770445|10.1542021664|10.1112217395|9.65667369256|9.63340549375|8.86094578784|8.49134184487|8.4136477789|8.26968118053|7.90569065804|7.80891081357|7.26948793721|7.16892347257|7.05152294611|6.83328719881|6.65206390155|6.5287519503|6.02460944354|5.97842741211|5.35896996046|5.3377521335|5.03421020369|4.90533987326|4.89103455125|4.8348481495|4.44585611353|4.3193136523|4.23050080804|4.13762944516|3.5753982578|3.37370799328|3.21902679569|2.965585555|2.83050414961|2.69911568543|2.68932388156|2.59888232003|2.51678424505|2.44162544735|2.36922544751|2.28077950085|2.25949751317|2.15259013166|1.78342214296|1.75291279149|1.7229061466|1.61041988988|1.59354611518|1.3708190251|1.33558287924|1.31800070945|1.15140469227|1.10016326414|1.00367655223|1.00327809244|0.917858085524|0.848415680465|0.828320217328|0.797534590975|0.568753927357|0.457385012629|0.394338132532|0.315198860358|0.293419967043|0.285133072171|0.15022184389|0.0136586384289|0.0127319447723
Communities and Crime,ridge,mi,1,123,0.9,49|55|48|50|8|54|33|22|46|51|73|20|32|24|45|43|7|74|82|72|78|17|15|37|27|5|76|35|34|13|42|79|66|91|95|29|75|94|30|44|12|31|36|56|28|67|98|77|25|71|10|68|16|83|86|87|38|88|41|85|70|125|89|90|18|119|65|100|93|59|6|40|92|26|81|14|69|11|63|99|23|58|60|84|52|64|96|53|118|57|47|61|19|62|120|97|80|39|21|9,0.489599330129|0.399531404467|0.378602504038|0.343175556837|0.337602084327|0.318012875025|0.315098044352|0.307642277282|0.29445960739|0.291428761367|0.285631716605|0.277875748442|0.272681243584|0.261875271833|0.254936946218|0.230479429127|0.226908280347|0.222409995135|0.219727621749|0.215182036184|0.203474252263|0.188341863963|0.177032958318|0.172807223278|0.164446194879|0.162202876297|0.140534929235|0.136889048866|0.136062403643|0.129146388906|0.12568620205|0.123843894106|0.116748077403|0.108945596195|0.108511926237|0.107127357154|0.103508019632|0.0986710726983|0.0944457472171|0.0936741212925|0.0923596954736|0.0888422568503|0.088375753446|0.0882825176463|0.0851758198281|0.0835111385659|0.0834044713085|0.082398146625|0.0809622006249|0.0794024179128|0.0790872573686|0.0781209688524|0.0724242411538|0.0698950939346|0.0639700980934|0.0632907519405|0.063266483414|0.0623028046056|0.0611608116372|0.0581474086022|0.0536399457098|0.050162951529|0.0491177211377|0.0477881048168|0.0470459365847|0.0454517272772|0.0441204240403|0.0436390658826|0.0432624918278|0.0413655589997|0.0391802204353|0.0390021270448|0.0385282298414|0.0341897489025|0.0334426694379|0.0334308930523|0.0321936767201|0.0319402044855|0.0270645283912|0.0256973092029|0.0223359797756|0.0221138421109|0.0215652143971|0.0197910815966|0.0197578903859|0.0164469874485|0.0150269019026|0.0141099694287|0.0129979005588|0.0116904169931|0.00827660036704|0.0055524130203|0.00330292999102|0.00194475180073|0.000901009367636|0|0|0|0|0
Communities and Crime,ridge,rfe,1,123,0.9,49|48|45|46|43|85|84|55|8|78|72|71|69|90|87|96|64|34|35|17|24|76|18|38|73|66|14|21|42|26|63|15|16|94|20|7|93|86|53|67|44|12|82|33|61|57|62|58|23|47|81|119|68|30|11|65|39|40|95|41|89|36|99|13|80|120|70|125|9|88|75|74|98|31|19|97|77|50|51|32|54|10|59|60|6|27|91|37|56|83|5|118|25|100|79|92|22|52|29|28,100|99|98|97|96|95|94|93|92|91|90|89|88|87|86|85|84|83|82|81|80|79|78|77|76|75|74|73|72|71|70|69|68|67|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1
Communities and Crime,ridge,tree,1,123,0.9,55|49|8|48|7|50|16|54|33|43|46|45|20|76|73|51|22|77|83|29|79|10|32|30|31|81|53|74|82|57|52|120|70|23|19|40|39|37|27|93|95|118|91|28|119|5|41|59|24|60|67|96|66|15|99|44|90|18|58|38|92|100|42|94|78|88|80|72|71|21|97|98|17|87|9|11|36|34|125|6|68|65|13|89|14|61|85|69|86|75|12|84|64|47|62|56|35|26|63|25,0.179078850576|0.173324278629|0.0923602036028|0.0593554527306|0.0356626949006|0.0267333636213|0.0168375976991|0.0165053359269|0.0148107333998|0.0131497238563|0.0113727023459|0.0101680699981|0.0100253896268|0.00903987478534|0.00806837813544|0.00780456850727|0.00749981122113|0.00739210758933|0.0072195278399|0.00703902621364|0.00683123164302|0.00677028271211|0.00633495415581|0.00606547413579|0.00566204351307|0.00545189790757|0.00533896798674|0.00513117106343|0.00509878742442|0.00485245926526|0.00483322677416|0.00478742120788|0.0047851717734|0.00477520966245|0.00461585533773|0.00453330336112|0.00452131295776|0.00447642219894|0.00435506754766|0.00431217422742|0.00430682999969|0.00429250411305|0.0041162829708|0.0039602736087|0.00389685417606|0.00387145661373|0.00383833742827|0.00377705299226|0.0037367003438|0.00371911561188|0.00369852187868|0.00356574902862|0.00349898103851|0.00349739467216|0.00343665082818|0.00337005651222|0.00336650429118|0.00334057986039|0.00331688482336|0.00330397471621|0.00325458465051|0.00324850926565|0.00323083988386|0.00319247824471|0.00314946799587|0.00314900577873|0.00313653606604|0.00311738439835|0.00311388926683|0.00308212378332|0.00304759176733|0.00302552334974|0.00300696640642|0.00293112351334|0.00288592291137|0.00286185846103|0.00281955235241|0.00281624536262|0.00273867949842|0.00268223479857|0.00267874558045|0.00265357222748|0.00264521356068|0.00263775909535|0.00262907573533|0.00255886399533|0.00253989279373|0.00252273136589|0.00248369375797|0.00247779887107|0.00246685952528|0.00241055094359|0.00240418720515|0.00231788861141|0.00230824749855|0.00230604302905|0.00216415528878|0.0021585725558|0.00213291154718|0.00212188748843
Communities and Crime,ridge,shap,1,123,0.9,13|81|7|64|39|59|93|55|11|20|35|8|62|30|43|68|46|99|88|22|69|71|70|73|53|10|40|89|48|44|38|17|23|96|60|34|33|56|65|32|24|52|14|118|61|49|45|119|75|78|26|58|51|12|84|15|9|72|97|79|67|77|76|57|36|94|41|25|18|95|27|66|42|83|80|100|21|19|29|92|16|54|28|87|86|37|74|63|120|98|5|50|47|90|82|125|6|85|31|91,0.0794520492639|0.0679243180408|0.0638906297634|0.0615584394082|0.0507833780593|0.0471702371235|0.0449375288217|0.0428546127274|0.0403161526662|0.0343085470234|0.0337978839844|0.0327728713931|0.0318317066118|0.0301491190305|0.0300287580585|0.0285974342969|0.0285393787906|0.0284055122518|0.0279680583116|0.0277254197042|0.0273519105965|0.0272064782518|0.0270118572676|0.0262294152727|0.0251783953897|0.0250638474732|0.0247497878871|0.024094005677|0.0237932671897|0.0227805776173|0.0220682737163|0.0217935714113|0.0211436269029|0.0208840502183|0.0206057993427|0.0200971240143|0.0196089803938|0.0190469728835|0.0186999727411|0.0185704590373|0.0179640968371|0.0179101279712|0.0177402667555|0.017465610179|0.0169889618167|0.0166862774059|0.0157745707226|0.0154114484931|0.0151568994652|0.0151230108119|0.0139088594953|0.0118135331503|0.0115811983333|0.0115450306752|0.0110484913196|0.0109545353097|0.0105301320818|0.010382026723|0.0102076263269|0.00970541683827|0.00969195119438|0.00906745707235|0.00856058355291|0.00855397854472|0.00837444344824|0.00814087683142|0.00786702480332|0.00764826503901|0.00736029180837|0.00723362172743|0.00712419830746|0.00685849895464|0.00684427903034|0.00670816543095|0.00657795834156|0.0063366267691|0.00533854187635|0.00531058340475|0.00525060377575|0.00524052254511|0.00489971825159|0.00483763708167|0.00472521232071|0.00409927721349|0.00404147498133|0.00402634564828|0.00331095326372|0.00313529730288|0.00285348502829|0.00268403901422|0.00248920770326|0.00195627439361|0.00191979774695|0.00153096466296|0.00121705535761|0.00110216779711|0.00107652922747|0.000936978672579|0.000818035227918|0.000105491240401
Communities and Crime,ridge,mi,2,123,0.9,49|55|48|54|51|8|50|20|45|32|22|73|72|7|46|33|43|78|37|17|34|24|82|27|76|60|74|35|94|95|67|79|12|5|25|65|125|75|13|15|88|77|91|10|38|41|56|59|42|66|68|89|30|96|36|83|44|119|62|14|58|70|71|16|98|87|28|97|47|63|31|99|64|26|90|84|85|23|11|19|100|120|53|29|86|57|61|69|21|93|40|6|52|80|92|118|81|39|18|9,0.455158270621|0.43268143098|0.393442183035|0.374905627651|0.319324889359|0.311147510228|0.308237369177|0.293508769646|0.285727148042|0.279892112984|0.261861283535|0.257426208353|0.24613146254|0.241059505566|0.238905641311|0.236899369562|0.207560298464|0.20185999721|0.201343438669|0.198795330093|0.193169296198|0.18085960279|0.165548040528|0.162873626453|0.151540586303|0.145557405915|0.143685099015|0.142907945817|0.128505318709|0.127667464118|0.118301551499|0.116267137372|0.115992343637|0.115796574235|0.10931094673|0.105788877887|0.103872414055|0.102583325633|0.100582404147|0.0998929674119|0.0996399825242|0.0992743790648|0.0968218660953|0.0964184260497|0.0937416127795|0.0914189057008|0.0906077932001|0.0886000146564|0.0884341128944|0.0882071681285|0.0845633129595|0.08434592542|0.082633686066|0.0797878895138|0.0764899720132|0.0731937010148|0.07165005588|0.0693702818319|0.0664184788017|0.066008910544|0.0656132799321|0.0619663924034|0.0596510740436|0.0572771072757|0.0558842847847|0.054055970427|0.0532148323569|0.0530726804385|0.0526384208328|0.0517812736727|0.0488835373106|0.0487524432549|0.047993493348|0.0477651495521|0.047459094481|0.0383489631254|0.0373599363126|0.0354341860375|0.0352042630627|0.0350756057359|0.0330033816577|0.0278171790293|0.0269558397815|0.0252425569665|0.0197320113212|0.0189997565447|0.0174904225801|0.0164446304889|0.0143648860653|0.00995876697457|0.00846717617255|0.00168816127552|0.000911999861486|0|0|0|0|0|0|0
Communities and Crime,ridge,rfe,2,123,0.9,49|63|62|7|90|87|79|81|33|53|52|72|12|44|48|69|70|71|73|66|55|17|25|26|21|14|95|89|10|18|38|68|24|8|46|45|78|20|84|85|16|50|34|19|32|54|56|65|93|23|96|74|80|88|94|28|59|58|57|119|91|92|77|15|82|60|43|42|13|11|51|100|97|41|29|75|61|120|64|39|6|36|27|22|83|99|125|31|35|118|37|67|47|76|86|40|5|30|9|98,100|99|98|97|96|95|94|93|92|91|90|89|88|87|86|85|84|83|82|81|80|79|78|77|76|75|74|73|72|71|70|69|68|67|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1
Communities and Crime,ridge,tree,2,123,0.9,55|49|8|48|7|50|51|73|54|95|45|29|10|74|79|46|77|16|97|22|67|76|92|20|32|94|81|43|120|60|52|64|27|53|125|91|71|96|39|65|93|66|31|100|63|33|30|56|69|68|5|13|41|119|19|78|118|15|57|59|90|72|80|37|28|86|83|98|42|58|99|14|40|34|9|70|11|12|82|44|26|6|23|47|36|89|88|25|18|24|61|35|21|17|84|62|38|87|85|75,0.181366831183|0.167770271553|0.072245313954|0.0647641641691|0.0313903271302|0.0299715992946|0.020838367652|0.0154310607064|0.0129250926036|0.0118897228367|0.011352689724|0.0100859787064|0.00995642247287|0.00994775701715|0.00893670402617|0.00848696037123|0.00837973841251|0.00814190893438|0.00739212531309|0.00647182746516|0.00633634107863|0.00621303811757|0.00610786325785|0.005887960145|0.00560716417266|0.00549360574936|0.00543655048168|0.00541746972504|0.0053787084356|0.0053327734943|0.00516395409853|0.00492878715523|0.00492218935458|0.00473173815203|0.00467610630666|0.00451467293682|0.00448611901439|0.00442238864692|0.00429743041713|0.00425688707131|0.00425609598725|0.00421114337788|0.00420698337502|0.00417239710837|0.00411498915779|0.00408456184284|0.00408442844956|0.00397212784536|0.00396161751351|0.00387564780204|0.00376299468206|0.00373707840837|0.00372423306165|0.00371695482755|0.00370659730784|0.00369181894273|0.00369047892917|0.00366372443869|0.00361369705047|0.00360422923936|0.00359846948014|0.00356733869299|0.00354573986742|0.00353634201077|0.00347932748193|0.00346195508342|0.00343597041693|0.00336910323477|0.00336185828797|0.00328116556111|0.00327769747316|0.00325333079124|0.00323382516173|0.00322776333499|0.00320849964584|0.0031991300528|0.00312382444153|0.00307775831697|0.0030537567525|0.00303719838955|0.00302688904847|0.0030268143294|0.00302493500025|0.00301901255153|0.00299271651187|0.00296951913183|0.00294743563251|0.00289026516829|0.00288229667037|0.00279051904698|0.00278412018706|0.00275138724914|0.00272275346981|0.00268014116258|0.0024595955273|0.0024133230754|0.00240077999962|0.00228667366542|0.00224392516495|0.00214843224599
Communities and Crime,ridge,shap,2,123,0.9,55|90|40|60|35|119|82|87|84|31|59|25|49|97|98|41|24|62|16|61|66|17|58|9|86|33|53|51|29|34|64|12|13|47|19|43|44|81|118|7|75|20|50|28|42|73|69|8|100|39|93|95|99|21|57|70|10|52|72|80|92|14|96|18|65|36|46|89|30|68|71|48|6|85|38|11|45|74|79|37|125|88|26|77|83|56|63|94|120|5|54|32|23|78|27|15|67|76|22|91,0.107540198922|0.0758626105144|0.0673266136167|0.0672651159009|0.0669736793193|0.0639580913874|0.0600009244791|0.057201635954|0.0535941296485|0.0508201256796|0.0481227748796|0.0474007098093|0.0434222663524|0.0433263091136|0.0425243327568|0.0421095332994|0.0411370965837|0.0410822308417|0.0401268635301|0.0400443146283|0.0365824546589|0.0364523593242|0.0363557379187|0.0363540891924|0.0359162900193|0.0357731446741|0.035539249235|0.0341316617655|0.0334390328105|0.0333866611963|0.0325203376837|0.0314718706814|0.0307680981945|0.0304566086749|0.0286311811552|0.0279677380153|0.0277712664745|0.024487647348|0.0236524210331|0.023481035784|0.023143057612|0.0228375477421|0.0227005458334|0.0217578613926|0.0209149883364|0.0208166323278|0.0207126579005|0.0206792981615|0.0206426235233|0.0203449767132|0.019528995199|0.0177766353691|0.0174983901876|0.016602300002|0.0158613207277|0.0157141797335|0.0148168944534|0.0147009846158|0.0138353076536|0.0131202061939|0.012109328094|0.0118361226702|0.0114025520109|0.0113973095054|0.0113595943202|0.0113221271768|0.0110526986611|0.0107821372302|0.0103734153267|0.00949456421745|0.00939871520019|0.00920673071495|0.00902445493747|0.00861589807889|0.00846170324428|0.0080823752325|0.00803784839324|0.0079747221551|0.00754201643623|0.00719205210522|0.00708155874264|0.00676207913651|0.00658358979898|0.00626087739478|0.00621359295475|0.00593782129711|0.0059035000922|0.00509400141824|0.00506079480227|0.00481270768456|0.00362323158567|0.00358215494067|0.0035701822786|0.00344705082699|0.00267317151542|0.0023872513747|0.00172646535452|0.00158976907418|0.00127933245419|0.0012728990086
Superconductor,ridge,mi,1,123,0.9,gmean_Density|std_fie|entropy_atomic_radius|range_fie|entropy_atomic_mass|wtd_gmean_Valence|wtd_mean_Valence|range_ElectronAffinity|std_ThermalConductivity|entropy_Density|range_Density|entropy_ElectronAffinity|mean_ThermalConductivity|wtd_gmean_FusionHeat|entropy_FusionHeat|range_atomic_radius|wtd_gmean_Density|wtd_std_ThermalConductivity|entropy_Valence|std_atomic_radius|gmean_FusionHeat|std_ElectronAffinity|range_atomic_mass|entropy_fie|gmean_ElectronAffinity|wtd_std_fie|gmean_ThermalConductivity|wtd_gmean_atomic_radius|range_FusionHeat|gmean_Valence|wtd_mean_FusionHeat|mean_FusionHeat|gmean_atomic_mass|range_ThermalConductivity|mean_Density|wtd_mean_fie|mean_ElectronAffinity|std_Density|wtd_std_FusionHeat|wtd_std_atomic_radius|std_atomic_mass|wtd_gmean_ThermalConductivity|wtd_range_ThermalConductivity|wtd_range_FusionHeat|wtd_std_ElectronAffinity|std_FusionHeat|gmean_atomic_radius|entropy_ThermalConductivity|wtd_mean_atomic_radius|mean_atomic_mass|mean_fie|wtd_entropy_atomic_mass|wtd_entropy_Valence|wtd_mean_ThermalConductivity|wtd_range_ElectronAffinity|wtd_gmean_atomic_mass|wtd_mean_Density|wtd_gmean_fie|wtd_std_Density|wtd_range_Valence|gmean_fie|wtd_mean_ElectronAffinity|wtd_entropy_atomic_radius|mean_atomic_radius|wtd_std_atomic_mass|mean_Valence|std_Valence|wtd_std_Valence|wtd_mean_atomic_mass|wtd_gmean_ElectronAffinity|wtd_range_Density|wtd_entropy_FusionHeat|wtd_range_fie|wtd_entropy_fie|wtd_range_atomic_mass|wtd_entropy_Density|wtd_range_atomic_radius|wtd_entropy_ThermalConductivity|wtd_entropy_ElectronAffinity|number_of_elements|range_Valence,0.837394744443|0.833820259175|0.826010212652|0.823572945121|0.821241597274|0.817495206262|0.81125374393|0.809774120056|0.80270146558|0.788193577708|0.779415626782|0.774837359708|0.772585825373|0.76954683941|0.768480787841|0.765436349569|0.762983840309|0.760724662902|0.758884312034|0.758741425189|0.75420779643|0.75210490148|0.735330477358|0.729114600591|0.726490511271|0.72130540972|0.716825764413|0.714687334153|0.708129953435|0.702886708769|0.702626454141|0.697091847111|0.693232908597|0.689441582988|0.682885037194|0.678810058169|0.678394549649|0.677734301556|0.675570856385|0.672045037181|0.668093573382|0.666904787278|0.66210901917|0.659584757438|0.651473234677|0.648356111501|0.645234102794|0.637842199895|0.637555556544|0.637512523442|0.629035446879|0.618506166615|0.617787178064|0.617537572648|0.614828571301|0.614521166428|0.602050706702|0.599989673634|0.599427245437|0.598642747975|0.596386787178|0.592676491804|0.592126578476|0.575429661174|0.569935940187|0.569450530167|0.565467708748|0.564547238199|0.559817156944|0.548725039266|0.541594448031|0.530578678983|0.529996567072|0.522376859369|0.478371196339|0.457326925818|0.451767040324|0.44139673349|0.420389623157|0.39680555946|0.117029233837
Superconductor,ridge,rfe,1,123,0.9,wtd_gmean_atomic_radius|wtd_mean_atomic_radius|range_fie|std_fie|wtd_mean_atomic_mass|wtd_gmean_atomic_mass|gmean_atomic_mass|mean_atomic_mass|range_ElectronAffinity|std_ElectronAffinity|wtd_gmean_ElectronAffinity|wtd_mean_ElectronAffinity|wtd_std_ElectronAffinity|wtd_mean_ThermalConductivity|wtd_gmean_ThermalConductivity|entropy_atomic_mass|entropy_Valence|wtd_gmean_FusionHeat|wtd_mean_FusionHeat|range_ThermalConductivity|std_ThermalConductivity|range_atomic_radius|std_atomic_radius|wtd_std_fie|wtd_entropy_atomic_radius|wtd_entropy_Valence|range_atomic_mass|std_atomic_mass|wtd_range_ThermalConductivity|gmean_FusionHeat|mean_FusionHeat|mean_Density|wtd_gmean_Density|range_FusionHeat|gmean_atomic_radius|wtd_std_Valence|range_Valence|wtd_gmean_Valence|gmean_Valence|wtd_entropy_fie|mean_fie|gmean_fie|wtd_range_FusionHeat|wtd_entropy_FusionHeat|wtd_std_atomic_radius|mean_atomic_radius|std_Density|range_Density|number_of_elements|wtd_mean_fie|wtd_entropy_ElectronAffinity|gmean_ElectronAffinity|mean_ThermalConductivity|entropy_ThermalConductivity|gmean_Density|entropy_FusionHeat|entropy_fie|entropy_Density|wtd_entropy_Density|wtd_std_Density|mean_ElectronAffinity|wtd_range_ElectronAffinity|wtd_range_fie|wtd_std_FusionHeat|std_FusionHeat|wtd_range_atomic_radius|entropy_atomic_radius|gmean_ThermalConductivity|wtd_std_ThermalConductivity|entropy_ElectronAffinity|wtd_mean_Valence|mean_Valence|std_Valence|wtd_gmean_fie|wtd_std_atomic_mass|wtd_range_Density|wtd_range_Valence|wtd_entropy_atomic_mass|wtd_entropy_ThermalConductivity|wtd_range_atomic_mass|wtd_mean_Density,81|80|79|78|77|76|75|74|73|72|71|70|69|68|67|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1
Superconductor,ridge,tree,1,123,0.9,range_ThermalConductivity|wtd_std_ThermalConductivity|std_ThermalConductivity|range_atomic_radius|wtd_entropy_Valence|wtd_entropy_atomic_mass|wtd_mean_Valence|wtd_gmean_ElectronAffinity|wtd_gmean_Valence|range_fie|wtd_mean_ThermalConductivity|std_atomic_mass|wtd_std_ElectronAffinity|wtd_entropy_atomic_radius|wtd_std_Valence|gmean_ElectronAffinity|wtd_entropy_ThermalConductivity|wtd_entropy_fie|range_atomic_mass|wtd_range_ThermalConductivity|wtd_gmean_Density|gmean_Density|wtd_entropy_Density|wtd_range_ElectronAffinity|std_Density|std_fie|wtd_range_fie|wtd_entropy_FusionHeat|wtd_std_atomic_mass|gmean_Valence|std_atomic_radius|mean_ThermalConductivity|std_ElectronAffinity|wtd_range_Valence|wtd_std_fie|wtd_mean_atomic_mass|wtd_mean_ElectronAffinity|wtd_std_atomic_radius|mean_Valence|wtd_gmean_atomic_radius|entropy_ThermalConductivity|wtd_std_Density|wtd_range_atomic_mass|range_Density|wtd_entropy_ElectronAffinity|wtd_mean_atomic_radius|wtd_gmean_ThermalConductivity|mean_Density|range_ElectronAffinity|wtd_range_FusionHeat|wtd_mean_FusionHeat|wtd_gmean_atomic_mass|entropy_Density|wtd_range_Density|wtd_range_atomic_radius|wtd_mean_Density|entropy_ElectronAffinity|mean_atomic_mass|wtd_mean_fie|entropy_Valence|wtd_gmean_FusionHeat|wtd_gmean_fie|entropy_atomic_mass|gmean_atomic_mass|gmean_fie|entropy_FusionHeat|std_Valence|wtd_std_FusionHeat|mean_ElectronAffinity|mean_atomic_radius|gmean_ThermalConductivity|range_Valence|mean_fie|entropy_atomic_radius|gmean_atomic_radius|gmean_FusionHeat|mean_FusionHeat|number_of_elements|entropy_fie|std_FusionHeat|range_FusionHeat,0.210193841611|0.129511736495|0.0645729305695|0.051586861745|0.0336402170965|0.0299867561144|0.0292216347755|0.0236695963103|0.0217637708516|0.0193894483554|0.0173302700633|0.0162295012745|0.0133091645197|0.0126437623117|0.0123048405296|0.0118794918789|0.0111535038737|0.0107334600562|0.0106009311212|0.0103097552269|0.00922399626132|0.00901564494407|0.00774610514773|0.00769046204298|0.00756187161065|0.00756124996908|0.00747990352517|0.00703451444726|0.00631290680513|0.00610375180886|0.00609397283988|0.00599627430788|0.00589491086183|0.0057115842243|0.00539212317813|0.00531457274047|0.00512498065939|0.00510731413272|0.00508190262245|0.00506471372619|0.00501432151511|0.00453062299432|0.00449931228514|0.00448510005909|0.00430151626233|0.00413762001028|0.00410929223868|0.00400685452432|0.00391481821753|0.00389856010888|0.00388627355615|0.00374677117371|0.0037281751585|0.0037122025434|0.00367024297808|0.00340531724935|0.00339365464378|0.00331473001418|0.0032299966247|0.00318905071861|0.00314611969767|0.00309721150747|0.00304663793697|0.00296417517122|0.00293637998166|0.00286316074831|0.00285370030957|0.00280230915123|0.00271322799445|0.00271259711123|0.00271063605655|0.00263794024664|0.00243856241262|0.00227663057523|0.00214641969853|0.00185063418451|0.00184313852317|0.00175536705647|0.0016724469265|0.00156558743651|0.00124845376183
Superconductor,ridge,shap,1,123,0.9,wtd_entropy_Valence|wtd_mean_ThermalConductivity|std_atomic_radius|wtd_gmean_Density|range_atomic_radius|std_ElectronAffinity|range_fie|entropy_Valence|std_fie|wtd_entropy_fie|range_atomic_mass|wtd_gmean_ElectronAffinity|wtd_mean_atomic_radius|wtd_gmean_ThermalConductivity|range_ElectronAffinity|mean_atomic_mass|wtd_entropy_FusionHeat|wtd_mean_ElectronAffinity|range_Valence|range_FusionHeat|wtd_std_Valence|gmean_FusionHeat|entropy_atomic_radius|wtd_std_atomic_radius|mean_Density|wtd_gmean_FusionHeat|wtd_std_ElectronAffinity|wtd_gmean_atomic_radius|wtd_mean_FusionHeat|wtd_range_ThermalConductivity|mean_FusionHeat|number_of_elements|wtd_mean_Density|gmean_Valence|gmean_atomic_radius|range_ThermalConductivity|entropy_FusionHeat|wtd_gmean_atomic_mass|wtd_std_ThermalConductivity|std_atomic_mass|wtd_std_atomic_mass|wtd_range_fie|wtd_mean_atomic_mass|wtd_entropy_ElectronAffinity|std_FusionHeat|range_Density|mean_atomic_radius|wtd_mean_fie|gmean_ElectronAffinity|wtd_mean_Valence|wtd_gmean_Valence|std_Density|gmean_ThermalConductivity|entropy_ElectronAffinity|wtd_entropy_ThermalConductivity|std_Valence|wtd_range_ElectronAffinity|gmean_atomic_mass|wtd_range_atomic_radius|mean_ElectronAffinity|entropy_atomic_mass|mean_Valence|wtd_range_Valence|wtd_gmean_fie|std_ThermalConductivity|wtd_entropy_Density|entropy_Density|wtd_std_Density|entropy_fie|wtd_range_FusionHeat|mean_fie|entropy_ThermalConductivity|mean_ThermalConductivity|wtd_entropy_atomic_mass|gmean_Density|wtd_std_FusionHeat|wtd_std_fie|wtd_entropy_atomic_radius|wtd_range_atomic_mass|gmean_fie|wtd_range_Density,20.5825890167|20.2981678051|20.2894776238|20.2794479542|17.727951221|16.0956838417|15.9974750493|14.5507974086|14.3628478544|13.5791251319|13.3550436331|13.1877859182|12.5629103134|12.3366939032|12.1446275193|11.3591914623|11.1355942387|10.7862872164|8.85292327202|8.70547321686|8.61492632524|8.52361226669|8.49468030623|8.30656655652|8.17343845712|8.16969725666|8.07789843683|7.30498485847|7.21618109219|7.05781969948|6.99410244688|6.79191571552|6.58767269325|6.49617376182|6.33890182472|6.11328518995|5.83329567389|5.79965935403|5.65991967188|5.00565620491|4.90573147526|4.69674193758|4.68642242291|4.59056357499|4.48994014635|4.05898968494|3.70756698928|3.56299049272|3.54264887628|3.40359994915|3.36818979903|3.05088193317|2.99955580803|2.99512328433|2.88172961824|2.80556892286|2.73371867085|2.15911065316|2.13628596809|2.07161180074|1.98762058617|1.98732935373|1.8813215784|1.81262639503|1.79533737567|1.72563362675|1.65249804933|1.58546533788|1.51768358357|1.51199628663|1.44475515456|1.44180126658|1.27506031339|1.20103890691|1.15569356905|1.08686368421|0.885141997225|0.530356532376|0.526402324892|0.331597165738|0.0564028357808
