dataset,model,strategy,fold,repeat_seed,corr_prune_threshold,ranked_features,ranked_scores
Communities and Crime,ridge,tree,1,42,0.9,55|49|8|48|7|50|20|54|51|45|46|73|79|76|43|16|95|33|29|77|10|31|74|40|39|67|22|32|92|41|83|91|81|94|30|93|72|53|82|21|37|125|118|78|52|57|65|56|11|71|24|69|35|27|70|60|98|119|23|66|97|42|100|28|19|15|26|59|44|120|80|68|5|17|58|14|34|47|63|96|75|9|6|36|25|99|64|18|86|84|13|12|87|90|89|38|62|85|88|61,0.224321455069|0.133421890405|0.0905990898691|0.0535857060387|0.0471030279735|0.0170063372144|0.0163489210622|0.0156662816197|0.0132182949645|0.0130907571144|0.0123821909226|0.0120450800967|0.0101213907346|0.00929447783658|0.00850518721154|0.00768122622538|0.00740838427209|0.00720295773914|0.00693220584265|0.00626534880772|0.00615167799389|0.005798864623|0.00579621184175|0.00566834934536|0.005663141049|0.0056437026701|0.00554857375541|0.00531625932039|0.00497365815739|0.00484502901289|0.00481805163352|0.00469514228701|0.00456490474018|0.00449668136609|0.00437413918236|0.00420664417169|0.00399170670189|0.00398192811484|0.00390298211734|0.00384782036574|0.00383404283736|0.00383282005205|0.00382484309238|0.00381237067339|0.0038099120823|0.00379699772427|0.00376160637522|0.00374650352174|0.00373613618568|0.00373166635066|0.0037241580783|0.00364336089132|0.0036395944755|0.0036094122354|0.0035523676582|0.00354850736333|0.00353760487061|0.00353516737379|0.00350371545007|0.00349353668391|0.00348749503757|0.00346341820994|0.00345671170324|0.00342834694971|0.00342411766701|0.00342120722742|0.00340846732158|0.00337907716046|0.00337448452075|0.00332648131507|0.00324937457537|0.00323231286191|0.00318836388069|0.00316961189008|0.00311659147126|0.00309341004436|0.00303510638754|0.00295885006419|0.00290987965404|0.00289131803989|0.00286856173692|0.00286499525998|0.00284966085193|0.00283784256718|0.00283358556209|0.00279014972239|0.00273233438123|0.00262911115845|0.00257160483577|0.00249106988297|0.00248419884048|0.00245966546608|0.00244570718006|0.00242011244069|0.00240068829288|0.00236099392278|0.00234834386261|0.00233826119138|0.00205884238446|0.00203964103227
Communities and Crime,ridge,shap,1,42,0.9,59|82|16|74|33|22|70|53|58|96|17|61|6|14|55|10|45|88|20|91|43|73|50|57|87|37|52|38|25|64|98|80|18|44|27|34|118|79|62|85|54|77|69|60|94|7|78|66|12|5|84|75|93|92|47|119|21|71|51|36|100|95|65|8|23|86|97|19|35|90|125|67|13|39|32|42|26|83|63|49|68|81|89|46|31|41|72|48|29|24|120|30|40|76|99|56|15|9|11|28,0.0919002516575|0.0770331341993|0.0724563370102|0.0661671819168|0.0637583274954|0.0636367037587|0.0618234133709|0.0595455406182|0.0568274294029|0.0546835930067|0.0526997569612|0.0525198516714|0.0484094792382|0.0460044280385|0.0457171391029|0.0434122327732|0.0434086956955|0.0424619919032|0.0421026226989|0.0410388080184|0.0400214748725|0.0388324860883|0.0376149317701|0.0374826469416|0.0372670156439|0.0365520311454|0.0355937151537|0.0347496511896|0.0329219553154|0.032683112553|0.0289398979757|0.0283690845762|0.0283184332714|0.0275561793707|0.0274381915926|0.0273750894978|0.0268898492482|0.0267097041314|0.0258548476748|0.02461760429|0.0241833690759|0.0240633605097|0.0240102485993|0.0234832120575|0.0232458539758|0.0228675689782|0.0220634124322|0.0218297236595|0.0215151599829|0.0208010981852|0.0207926067598|0.0202787596289|0.020055833547|0.0197765780051|0.0194599686833|0.0191130912101|0.018361592849|0.0183066290213|0.0182920522837|0.0181547124393|0.0180496845241|0.0179064305149|0.01736191374|0.0172433859929|0.0169425659623|0.0165195562131|0.0163775820804|0.0162891871123|0.0162838297961|0.0159055316248|0.0125396246501|0.0122728656124|0.0121331884955|0.0113872555765|0.0103666665684|0.00974232111525|0.00894894738573|0.00816646595855|0.00773692539079|0.00718340208042|0.00717895415085|0.00715608308194|0.00695547609318|0.00687961740977|0.00671399778215|0.00554726004818|0.00429934453125|0.00416751143056|0.00391858574451|0.00368150656593|0.00336782670175|0.00329681894654|0.00308336144214|0.00292269093785|0.00275783000421|0.00221623538613|0.00183220022647|0.00145555346976|0.00103123478252|0.000512406655744
Communities and Crime,ridge,mi,2,42,0.9,49|55|48|50|54|33|8|51|22|73|46|32|45|43|20|34|82|24|72|7|78|74|27|37|13|17|76|35|5|10|66|65|79|56|67|75|42|31|30|44|98|15|14|119|25|95|26|38|125|68|70|88|41|77|12|96|90|83|94|59|71|91|69|16|120|11|86|28|52|36|89|60|6|87|99|62|61|29|92|64|63|85|58|57|84|18|47|97|81|23|93|39|9|100|40|118|80|53|21|19,0.479741548684|0.39911269799|0.36108773294|0.346557869696|0.311341421451|0.310987545132|0.305590324293|0.285894705173|0.282964361855|0.280352457371|0.269110327068|0.260541879907|0.258134256431|0.245206339567|0.23468684239|0.227008936674|0.222404931516|0.218452349281|0.213090497002|0.211815302248|0.199235221441|0.192726133105|0.183050161449|0.176539966693|0.157840589177|0.150929116779|0.146469338824|0.14059508322|0.136523046311|0.129262845146|0.110007241596|0.10927645331|0.108799668487|0.101721197024|0.100301115587|0.0970454597699|0.0952494590967|0.0951921318028|0.0944599143656|0.0941391916864|0.0923644012741|0.0919473724008|0.0915893148674|0.089951151546|0.0898660045046|0.0884310601839|0.0863771785146|0.0834402838553|0.0832515368736|0.0824773851663|0.0762768997039|0.0729978667849|0.0718182347729|0.0711838783046|0.068958559544|0.0687040221925|0.0686857719902|0.0663915259423|0.0658609800752|0.06521767544|0.0588499697524|0.0581145816139|0.0577494210886|0.0577110921251|0.05717276077|0.0543474460348|0.0508591864301|0.0502975092069|0.0497701935914|0.048625536239|0.04521349397|0.0443612551587|0.0432350922266|0.0403025043595|0.0393521310915|0.0364460213369|0.0362749486417|0.0346511508924|0.0315116009416|0.0312963933862|0.0278475712847|0.0267968312654|0.026154625302|0.0255696755344|0.0248777407285|0.0233713190375|0.020195955352|0.018608800358|0.0153604079996|0.0150085821294|0.0114439984514|0.0073051602941|0.0049951456377|0.00474821818382|0.00273254998134|0|0|0|0|0
Communities and Crime,ridge,rfe,2,42,0.9,49|63|62|43|46|45|55|90|87|73|76|78|72|38|21|42|24|26|7|53|84|86|48|67|47|34|17|93|74|69|65|89|71|20|95|70|66|12|54|94|23|16|44|15|80|30|10|120|35|125|75|19|81|41|39|13|11|83|28|88|77|56|92|91|14|33|82|50|22|37|99|98|68|6|57|5|58|59|51|18|31|60|119|29|85|96|64|9|36|79|61|25|97|100|40|8|118|32|27|52,100|99|98|97|96|95|94|93|92|91|90|89|88|87|86|85|84|83|82|81|80|79|78|77|76|75|74|73|72|71|70|69|68|67|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1
Communities and Crime,ridge,tree,2,42,0.9,55|49|48|8|51|50|7|73|54|95|45|10|29|43|76|22|46|120|52|16|125|66|30|74|97|83|79|20|53|27|31|59|65|93|40|94|81|39|67|77|19|33|21|96|82|13|91|37|28|60|118|92|9|71|119|11|100|68|32|80|72|99|12|14|58|15|57|5|38|34|18|98|64|41|23|63|78|86|47|44|42|87|70|36|85|56|90|24|35|6|17|69|84|61|62|26|88|75|89|25,0.184435474338|0.182001710128|0.0687121810894|0.0607017753576|0.0279939689241|0.0260684655148|0.0200432862393|0.0156573103529|0.0132819570965|0.0106110006248|0.0104835389648|0.00992579170805|0.00870964303309|0.00814891243578|0.0080935744853|0.00775637945772|0.00766394406086|0.00758844118014|0.00662173108556|0.00613281968815|0.00588303328806|0.00585555414293|0.0057647251884|0.00573179064334|0.00572060621285|0.00569295969405|0.00568807506416|0.00568482608337|0.00519346197173|0.00518675287819|0.00516979100071|0.00480902157548|0.00479790320958|0.00475838177288|0.00474948535135|0.00474041760849|0.00472649164004|0.00466895347473|0.00464994324698|0.00462970528912|0.00459251162489|0.00458263719093|0.0045491741922|0.00452803201067|0.00450114838591|0.00447042107562|0.00443520093478|0.00436320001066|0.00435948283608|0.00431487001947|0.00427347647294|0.00423860113585|0.00412204526459|0.00410767114198|0.00409836871951|0.00403940191786|0.00400781034248|0.00398067886131|0.00397669855412|0.00384597030922|0.00382460916808|0.00381645937601|0.00379664208744|0.00372511255496|0.00370512618549|0.00358581914432|0.00356376832232|0.00353237739639|0.00351183242658|0.00350164054757|0.0034927586442|0.0034797758808|0.00345669699579|0.00336826608403|0.0033323115953|0.00328294353291|0.0032457009695|0.00305607186288|0.00304643980488|0.00303160832105|0.00302985555509|0.00296547996717|0.00283446058341|0.0028198537881|0.00281478660693|0.00279494749966|0.00274907325604|0.00272427559804|0.0027013865611|0.00268265709393|0.00254464155367|0.0024442053712|0.00235594427833|0.00231192865056|0.00228175679367|0.00225497299796|0.00221153171271|0.00204183390583|0.00199950519378|0.00195975602984
Communities and Crime,ridge,shap,2,42,0.9,37|82|70|55|7|39|36|94|49|125|42|15|98|87|20|44|9|14|8|19|54|60|90|73|119|57|29|40|100|22|23|77|83|25|93|89|10|26|97|75|96|11|53|24|66|92|78|43|74|84|80|18|21|32|72|5|17|62|99|118|65|51|28|12|31|27|67|81|45|64|34|52|91|50|48|47|58|56|16|71|35|13|41|33|59|95|79|61|120|6|38|88|85|68|76|69|30|46|86|63,0.0815305337568|0.070908821884|0.0702317003962|0.0681177641863|0.0659547057947|0.0644683562294|0.0643819052923|0.0610998867095|0.0578149723881|0.0573137723456|0.0565191033966|0.0537183379444|0.0526054738008|0.0506135189037|0.0500756977692|0.0485862053205|0.047860025594|0.0450303375755|0.040288756594|0.0399846046643|0.0395005824912|0.0388446741384|0.0384007525848|0.0379994132357|0.0373415684626|0.0371685782256|0.0365748552472|0.0355390638811|0.0349135348304|0.0348653853714|0.0343238690561|0.0341428635722|0.0325550869043|0.0294080994525|0.0284459863844|0.0278708018827|0.0278152138704|0.0270509717231|0.0270247440268|0.0256321776645|0.0251972572621|0.0250240221475|0.0243852171285|0.0237935086862|0.0237717079201|0.0235222253996|0.0231289190733|0.0224594713501|0.0223613220484|0.0219942764801|0.0219776218299|0.0204280346457|0.0196384225895|0.0185555501695|0.0185546161368|0.0173282044539|0.0172485810519|0.0170733896776|0.0164409850532|0.015839713751|0.0147839971707|0.0143696129621|0.0143438380525|0.0142557685247|0.0142488456067|0.0139062475592|0.0137685078442|0.0135750546565|0.0127796118203|0.0127312434449|0.0124573543741|0.0111673811057|0.0103438145236|0.0101319636499|0.00955402403854|0.00937087513775|0.00936982112112|0.00866286367608|0.00863207706098|0.00854786798395|0.0084916270617|0.00842341757819|0.00788324027136|0.00771543201521|0.0057620456163|0.00554198521872|0.00519888364485|0.00486424297436|0.00452534238342|0.00431937814756|0.00428416063256|0.0041478928177|0.00385007194807|0.00365162798452|0.00328983568998|0.00281280518836|0.00223856475233|0.00134148653648|0.000507153297516|0.0002519598726
Communities and Crime,extratrees,mi,1,42,0.9,49|55|48|50|8|73|54|32|33|45|51|20|72|7|24|22|46|43|82|34|78|17|74|76|37|35|79|60|88|27|10|41|15|42|68|25|125|28|95|91|29|75|36|90|57|5|44|62|23|67|83|94|119|56|65|98|38|12|30|77|31|63|96|64|87|18|85|16|71|40|59|13|58|47|66|89|97|19|26|84|11|93|6|86|14|61|99|120|52|21|70|118|69|80|100|92|81|53|39|9,0.452488403394|0.42197560129|0.372179817815|0.363748518816|0.343591608078|0.326201019868|0.324757960424|0.317198602491|0.316325076439|0.315004766795|0.280907355645|0.276171882276|0.258943117589|0.249277279487|0.239551522617|0.224750917259|0.219889087604|0.216757715971|0.20203716488|0.187558925515|0.184162697266|0.172029706733|0.162450752625|0.15990018311|0.159429045579|0.148130399935|0.142880317368|0.128060418949|0.127140613119|0.116305163274|0.116270572885|0.115576827738|0.113711626366|0.113075089191|0.111312361675|0.106851138798|0.103362354431|0.102060283965|0.0993824471753|0.0960787279325|0.094864590089|0.0928238588982|0.0925981318888|0.0910930705367|0.0909979533233|0.0892376332897|0.0871273994717|0.0851944935603|0.078991749978|0.0783461448977|0.0770658350866|0.0736107130669|0.0731755579634|0.070213132715|0.06969797516|0.0691598402386|0.0685220993459|0.0680905417279|0.0664277554004|0.0662732082899|0.0643603214882|0.060523545019|0.0589150929479|0.058026067612|0.0575883058856|0.0566978099576|0.0559248040901|0.0555347880092|0.053555970639|0.0518599626283|0.0516483028336|0.0464956620546|0.0451017479476|0.0448353382394|0.0427584002771|0.040816451452|0.0369495871616|0.0364788896574|0.0308691370762|0.0284573568698|0.0282749759332|0.0281309932968|0.0271106868691|0.025042035107|0.0214995487856|0.0169187247664|0.0162209794237|0.0146627536975|0.0146248708496|0.013725869954|0.0107082743001|0.00770691965919|0.00384574310869|0|0|0|0|0|0|0
Communities and Crime,extratrees,rfe,1,42,0.9,7|73|46|45|18|21|44|12|84|85|68|67|69|47|78|72|71|20|76|48|33|25|26|90|87|66|63|64|96|17|24|70|50|10|65|79|61|57|58|15|16|23|93|53|38|52|14|94|43|19|39|41|88|9|8|32|54|80|55|13|95|56|77|31|27|42|100|97|49|98|30|40|36|75|74|120|59|89|34|35|81|11|29|125|118|82|5|28|51|119|6|91|62|92|37|60|99|86|83|22,100|99|98|97|96|95|94|93|92|91|90|89|88|87|86|85|84|83|82|81|80|79|78|77|76|75|74|73|72|71|70|69|68|67|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1
Communities and Crime,extratrees,tree,1,42,0.9,55|49|8|48|7|50|20|54|51|45|46|73|79|76|43|16|95|33|29|77|10|31|74|40|39|67|22|32|92|41|83|91|81|94|30|93|72|53|82|21|37|125|118|78|52|57|65|56|11|71|24|69|35|27|70|60|98|119|23|66|97|42|100|28|19|15|26|59|44|120|80|68|5|17|58|14|34|47|63|96|75|9|6|36|25|99|64|18|86|84|13|12|87|90|89|38|62|85|88|61,0.224321455069|0.133421890405|0.0905990898691|0.0535857060387|0.0471030279735|0.0170063372144|0.0163489210622|0.0156662816197|0.0132182949645|0.0130907571144|0.0123821909226|0.0120450800967|0.0101213907346|0.00929447783658|0.00850518721154|0.00768122622538|0.00740838427209|0.00720295773914|0.00693220584265|0.00626534880772|0.00615167799389|0.005798864623|0.00579621184175|0.00566834934536|0.005663141049|0.0056437026701|0.00554857375541|0.00531625932039|0.00497365815739|0.00484502901289|0.00481805163352|0.00469514228701|0.00456490474018|0.00449668136609|0.00437413918236|0.00420664417169|0.00399170670189|0.00398192811484|0.00390298211734|0.00384782036574|0.00383404283736|0.00383282005205|0.00382484309238|0.00381237067339|0.0038099120823|0.00379699772427|0.00376160637522|0.00374650352174|0.00373613618568|0.00373166635066|0.0037241580783|0.00364336089132|0.0036395944755|0.0036094122354|0.0035523676582|0.00354850736333|0.00353760487061|0.00353516737379|0.00350371545007|0.00349353668391|0.00348749503757|0.00346341820994|0.00345671170324|0.00342834694971|0.00342411766701|0.00342120722742|0.00340846732158|0.00337907716046|0.00337448452075|0.00332648131507|0.00324937457537|0.00323231286191|0.00318836388069|0.00316961189008|0.00311659147126|0.00309341004436|0.00303510638754|0.00295885006419|0.00290987965404|0.00289131803989|0.00286856173692|0.00286499525998|0.00284966085193|0.00283784256718|0.00283358556209|0.00279014972239|0.00273233438123|0.00262911115845|0.00257160483577|0.00249106988297|0.00248419884048|0.00245966546608|0.00244570718006|0.00242011244069|0.00240068829288|0.00236099392278|0.00234834386261|0.00233826119138|0.00205884238446|0.00203964103227
Communities and Crime,extratrees,shap,1,42,0.9,55|49|48|50|51|22|54|8|7|79|72|73|95|78|74|33|32|20|45|23|24|77|82|94|13|53|125|91|46|16|92|75|76|11|12|80|44|10|65|9|28|19|29|17|83|43|60|30|57|31|59|14|100|5|87|25|118|27|38|81|37|93|88|26|34|66|86|15|69|6|35|96|90|52|39|18|89|64|84|97|40|99|85|47|63|36|62|42|58|98|56|67|41|70|21|68|119|71|120|61,0.0452595350701|0.0205994320195|0.0183617986461|0.0121149128305|0.0107436065672|0.00768096592678|0.00748802276724|0.00746142674525|0.00731077942066|0.00691574210463|0.00636117455399|0.00478137415262|0.00427911021293|0.00388960933594|0.00372688526923|0.0034449401025|0.00286264672584|0.00281279071614|0.00260847927573|0.00238999546493|0.00222350085673|0.00216181038501|0.00215576409307|0.00208586844725|0.00206160884171|0.00200700133825|0.00198836661289|0.00194593278388|0.00193529601317|0.00179557187126|0.0017558006884|0.00167539353282|0.00167426081076|0.00167159338799|0.00157513839715|0.00155824985287|0.00144291741853|0.00142562048131|0.00135499422178|0.00132709517072|0.00123381055629|0.00120845559597|0.0011818352639|0.00117770860599|0.00111573705444|0.00108206542666|0.00103311127791|0.00101191790219|0.000997418121509|0.000982296331333|0.000955471586045|0.000948393509631|0.000946929428314|0.000863863130047|0.000847216114032|0.000846734966432|0.000832767173501|0.000828701798591|0.000818181522528|0.000817128518952|0.000783239822046|0.000742748852616|0.000741022173596|0.000740768075873|0.000737781981895|0.000719164111044|0.000697257905494|0.000689239235375|0.000681296562197|0.000669205501201|0.000659105747984|0.000657716339011|0.000655222342983|0.000638435122934|0.000614217084272|0.000599366489374|0.000560587223369|0.000553527989665|0.000541921019223|0.000513594352275|0.000507005755998|0.000489447044399|0.000479904260652|0.000476666316203|0.000475131842646|0.000474604234029|0.000453159374138|0.000452983144362|0.000438448624224|0.000436968485764|0.000426260088564|0.000411936973522|0.000411118477894|0.000365872494939|0.000310875708678|0.000296402353243|0.00029517538957|0.000281120479054|0.000258829467743|0.000239518210476
