dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
Bike Sharing,ridge,rfe,0.75,4,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,4,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,4,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,4,42,0.9,12,11,6,hour|workingday|temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,4,42,0.9,12,11,9,hour|workingday|temp|year|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,4,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,4,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,shap,0.5,4,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,shap,0.75,4,42,0.9,12,11,9,temp|hour|year|humidity|season|month|windspeed|weather|holiday
Bike Sharing,ridge,shap,1.0,4,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,5,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,5,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,5,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|weekday|weather|workingday
Bike Sharing,ridge,mi,1.0,5,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,5,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,5,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,5,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,5,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,5,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,5,42,0.9,12,11,6,hour|workingday|temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,5,42,0.9,12,11,9,hour|workingday|temp|year|humidity|month|season|weather|weekday
Bike Sharing,ridge,tree,1.0,5,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,5,42,0.9,12,11,3,temp|year|hour
Bike Sharing,ridge,shap,0.5,5,42,0.9,12,11,6,temp|year|hour|humidity|season|workingday
Bike Sharing,ridge,shap,0.75,5,42,0.9,12,11,9,temp|year|hour|humidity|season|workingday|month|weather|holiday
Bike Sharing,ridge,shap,1.0,5,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,6,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,6,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,6,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|weekday|workingday|windspeed
Bike Sharing,ridge,mi,1.0,6,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,6,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,6,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,6,42,0.9,12,11,9,temp|hour|year|humidity|season|month|weekday|holiday|windspeed
Bike Sharing,ridge,rfe,1.0,6,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,6,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,6,42,0.9,12,11,6,hour|workingday|temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,6,42,0.9,12,11,9,hour|workingday|temp|year|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,6,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,6,42,0.9,12,11,3,hour|year|feel_temp
Bike Sharing,ridge,shap,0.5,6,42,0.9,12,11,6,hour|year|feel_temp|humidity|season|windspeed
Bike Sharing,ridge,shap,0.75,6,42,0.9,12,11,9,hour|year|feel_temp|humidity|season|windspeed|weather|workingday|weekday
Bike Sharing,ridge,shap,1.0,6,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,7,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,7,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,7,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|workingday|weekday|weather
Bike Sharing,ridge,mi,1.0,7,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,7,42,0.9,12,11,3,temp|hour|year
