dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
New Dataset,extratrees,mi,0.5,1,42,,131,131,66,cat80|cat79|cat101|cat100|cat87|cat81|cat12|cat1|cat10|cat13|cat114|cat2|cat97|cont2|cat72|cat110|cat73|cat9|cat115|cont14|cat57|cat11|cat103|cont10|cat7|cat27|cat89|cat16|cat82|cat6|cat36|cat94|cat5|cat50|cat75|cat111|cat26|cont9|cont6|cat3|cat40|cat90|cat106|cat83|cat109|cat24|cat4|cat74|cat38|id|cat76|cat65|cat86|cat93|cont5|cat28|cat85|cat17|cat105|cat25|cat23|cat31|cat61|cat41|cat8|cat44
New Dataset,extratrees,rfe,0.5,1,42,,131,131,66,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87|cat5|cont2|cat73|cat72|cont14|cat1|cat44|cat88|cat50|cat6|cat49|cat12|cat3|cat90|cat82|cat86|cat112|cat107|cont6|cat106|cont11|cat104|cont3|cat52|cat30|cat16|cat25|cat76|cat77|cat14|cat46|cat33|cat34|cat51|cat47|cat103|cat28|cat115|cat23|cat31|cat116|cat96|cat60|cat8|cont12|cat69|cat66|cat68|cat102|cat19|cat13|cat83|cat10
New Dataset,extratrees,mi,1.0,1,42,,131,131,131,id|cat1|cat2|cat3|cat4|cat5|cat6|cat7|cat8|cat9|cat10|cat11|cat12|cat13|cat14|cat15|cat16|cat17|cat18|cat19|cat20|cat21|cat22|cat23|cat24|cat25|cat26|cat27|cat28|cat29|cat30|cat31|cat32|cat33|cat34|cat35|cat36|cat37|cat38|cat39|cat40|cat41|cat42|cat43|cat44|cat45|cat46|cat47|cat48|cat49|cat50|cat51|cat52|cat53|cat54|cat55|cat56|cat57|cat58|cat59|cat60|cat61|cat62|cat63|cat64|cat65|cat66|cat67|cat68|cat69|cat70|cat71|cat72|cat73|cat74|cat75|cat76|cat77|cat78|cat79|cat80|cat81|cat82|cat83|cat84|cat85|cat86|cat87|cat88|cat89|cat90|cat91|cat92|cat93|cat94|cat95|cat96|cat97|cat98|cat99|cat100|cat101|cat102|cat103|cat104|cat105|cat106|cat107|cat108|cat109|cat110|cat111|cat112|cat113|cat114|cat115|cat116|cont1|cont2|cont3|cont4|cont5|cont6|cont7|cont8|cont9|cont10|cont11|cont12|cont13|cont14
New Dataset,extratrees,rfe,1.0,1,42,,131,131,131,id|cat1|cat2|cat3|cat4|cat5|cat6|cat7|cat8|cat9|cat10|cat11|cat12|cat13|cat14|cat15|cat16|cat17|cat18|cat19|cat20|cat21|cat22|cat23|cat24|cat25|cat26|cat27|cat28|cat29|cat30|cat31|cat32|cat33|cat34|cat35|cat36|cat37|cat38|cat39|cat40|cat41|cat42|cat43|cat44|cat45|cat46|cat47|cat48|cat49|cat50|cat51|cat52|cat53|cat54|cat55|cat56|cat57|cat58|cat59|cat60|cat61|cat62|cat63|cat64|cat65|cat66|cat67|cat68|cat69|cat70|cat71|cat72|cat73|cat74|cat75|cat76|cat77|cat78|cat79|cat80|cat81|cat82|cat83|cat84|cat85|cat86|cat87|cat88|cat89|cat90|cat91|cat92|cat93|cat94|cat95|cat96|cat97|cat98|cat99|cat100|cat101|cat102|cat103|cat104|cat105|cat106|cat107|cat108|cat109|cat110|cat111|cat112|cat113|cat114|cat115|cat116|cont1|cont2|cont3|cont4|cont5|cont6|cont7|cont8|cont9|cont10|cont11|cont12|cont13|cont14
New Dataset,extratrees,tree,0.25,1,42,,131,131,33,cat79|cat80|cat57|cont2|cat12|cont7|cat81|cat101|cat87|cont3|cat105|id|cat72|cat38|cont14|cat100|cont4|cat112|cont5|cont12|cat83|cat93|cat2|cont11|cont8|cat1|cat27|cat37|cont9|cat106|cont6|cat53|cat110
New Dataset,extratrees,shap,0.25,1,42,,131,131,33,cat79|cat13|cat80|cat87|cat53|cat14|cat10|cat11|cat89|cat7|cat44|cat38|cat28|cat72|cat101|cat54|cont5|cont14|cont3|cat111|cat9|cat84|cat1|cat12|cat26|cat100|cat2|cat81|cont11|id|cat112|cat116|cat73
New Dataset,extratrees,tree,0.5,1,42,,131,131,66,cat79|cat80|cat57|cont2|cat12|cont7|cat81|cat101|cat87|cont3|cat105|id|cat72|cat38|cont14|cat100|cont4|cat112|cont5|cont12|cat83|cat93|cat2|cont11|cont8|cat1|cat27|cat37|cont9|cat106|cont6|cat53|cat110|cat108|cat92|cat4|cat102|cat24|cat94|cat115|cont1|cat11|cat111|cat107|cat103|cat91|cat113|cat44|cat88|cat73|cat104|cat9|cat114|cat65|cat84|cont10|cat10|cat23|cat109|cat97|cont13|cat96|cat116|cat95|cat82|cat13
New Dataset,extratrees,shap,0.5,1,42,,131,131,66,cat79|cat13|cat80|cat87|cat53|cat14|cat10|cat11|cat89|cat7|cat44|cat38|cat28|cat72|cat101|cat54|cont5|cont14|cont3|cat111|cat9|cat84|cat1|cat12|cat26|cat100|cat2|cat81|cont11|id|cat112|cat116|cat73|cont4|cont2|cont12|cat88|cont8|cat92|cat106|cat49|cat5|cat104|cont10|cont7|cat110|cat113|cat82|cat93|cat83|cat115|cat103|cat36|cat107|cont1|cat86|cat105|cat97|cat91|cat40|cont9|cat98|cat109|cat95|cat75|cont13
New Dataset,extratrees,tree,1.0,1,42,,131,131,131,id|cat1|cat2|cat3|cat4|cat5|cat6|cat7|cat8|cat9|cat10|cat11|cat12|cat13|cat14|cat15|cat16|cat17|cat18|cat19|cat20|cat21|cat22|cat23|cat24|cat25|cat26|cat27|cat28|cat29|cat30|cat31|cat32|cat33|cat34|cat35|cat36|cat37|cat38|cat39|cat40|cat41|cat42|cat43|cat44|cat45|cat46|cat47|cat48|cat49|cat50|cat51|cat52|cat53|cat54|cat55|cat56|cat57|cat58|cat59|cat60|cat61|cat62|cat63|cat64|cat65|cat66|cat67|cat68|cat69|cat70|cat71|cat72|cat73|cat74|cat75|cat76|cat77|cat78|cat79|cat80|cat81|cat82|cat83|cat84|cat85|cat86|cat87|cat88|cat89|cat90|cat91|cat92|cat93|cat94|cat95|cat96|cat97|cat98|cat99|cat100|cat101|cat102|cat103|cat104|cat105|cat106|cat107|cat108|cat109|cat110|cat111|cat112|cat113|cat114|cat115|cat116|cont1|cont2|cont3|cont4|cont5|cont6|cont7|cont8|cont9|cont10|cont11|cont12|cont13|cont14
New Dataset,extratrees,shap,1.0,1,42,,131,131,131,id|cat1|cat2|cat3|cat4|cat5|cat6|cat7|cat8|cat9|cat10|cat11|cat12|cat13|cat14|cat15|cat16|cat17|cat18|cat19|cat20|cat21|cat22|cat23|cat24|cat25|cat26|cat27|cat28|cat29|cat30|cat31|cat32|cat33|cat34|cat35|cat36|cat37|cat38|cat39|cat40|cat41|cat42|cat43|cat44|cat45|cat46|cat47|cat48|cat49|cat50|cat51|cat52|cat53|cat54|cat55|cat56|cat57|cat58|cat59|cat60|cat61|cat62|cat63|cat64|cat65|cat66|cat67|cat68|cat69|cat70|cat71|cat72|cat73|cat74|cat75|cat76|cat77|cat78|cat79|cat80|cat81|cat82|cat83|cat84|cat85|cat86|cat87|cat88|cat89|cat90|cat91|cat92|cat93|cat94|cat95|cat96|cat97|cat98|cat99|cat100|cat101|cat102|cat103|cat104|cat105|cat106|cat107|cat108|cat109|cat110|cat111|cat112|cat113|cat114|cat115|cat116|cont1|cont2|cont3|cont4|cont5|cont6|cont7|cont8|cont9|cont10|cont11|cont12|cont13|cont14
New Dataset,xgboost,mi,0.05,1,42,,131,131,7,cat80|cat79|cat101|cat100|cat87|cat81|cat12
New Dataset,xgboost,mi,0.1,1,42,,131,131,13,cat80|cat79|cat101|cat100|cat87|cat81|cat12|cat1|cat10|cat13|cat114|cat2|cat97
New Dataset,xgboost,rfe,0.05,1,42,,131,131,7,cat80|cat79|cont9|cont1|cat101|cat57|cat38
New Dataset,xgboost,mi,0.15,1,42,,131,131,20,cat80|cat79|cat101|cat100|cat87|cat81|cat12|cat1|cat10|cat13|cat114|cat2|cat97|cont2|cat72|cat110|cat73|cat9|cat115|cont14
New Dataset,xgboost,rfe,0.1,1,42,,131,131,13,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87
New Dataset,xgboost,mi,0.25,1,42,,131,131,33,cat80|cat79|cat101|cat100|cat87|cat81|cat12|cat1|cat10|cat13|cat114|cat2|cat97|cont2|cat72|cat110|cat73|cat9|cat115|cont14|cat57|cat11|cat103|cont10|cat7|cat27|cat89|cat16|cat82|cat6|cat36|cat94|cat5
New Dataset,xgboost,rfe,0.15,1,42,,131,131,20,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87|cat5|cont2|cat73|cat72|cont14|cat1|cat44
New Dataset,xgboost,mi,0.5,1,42,,131,131,66,cat80|cat79|cat101|cat100|cat87|cat81|cat12|cat1|cat10|cat13|cat114|cat2|cat97|cont2|cat72|cat110|cat73|cat9|cat115|cont14|cat57|cat11|cat103|cont10|cat7|cat27|cat89|cat16|cat82|cat6|cat36|cat94|cat5|cat50|cat75|cat111|cat26|cont9|cont6|cat3|cat40|cat90|cat106|cat83|cat109|cat24|cat4|cat74|cat38|id|cat76|cat65|cat86|cat93|cont5|cat28|cat85|cat17|cat105|cat25|cat23|cat31|cat61|cat41|cat8|cat44
New Dataset,xgboost,rfe,0.25,1,42,,131,131,33,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87|cat5|cont2|cat73|cat72|cont14|cat1|cat44|cat88|cat50|cat6|cat49|cat12|cat3|cat90|cat82|cat86|cat112|cat107|cont6|cat106
