dataset,model,strategy,k_pct,fold,repeat_seed,rmse,mae,mape,mse,selection_time_s,train_time_s,predict_time_s,total_time_s
Superconductor,xgboost,native_fi,0.05,2,42,13.402704474998032,8.63703188850177,2.5209242584500817,179.63248724413225,1.3920071069151163e-06,4.269287956005428,0.0191548409929964,4.288444189005531
Superconductor,xgboost,native_fi,0.1,2,42,10.88999753830387,6.909296713466312,2.074880841096268,118.59204638426436,1.4229881344363091e-06,4.194150244002231,0.0107883400050923,4.204940006995457
Superconductor,xgboost,native_fi,0.15,2,42,10.516870714769588,6.576425362410229,2.7146572386402528,110.6045696311782,1.1420052032917738e-06,4.289220526989084,0.0106267049995949,4.299848373993882
Superconductor,xgboost,native_fi,0.25,2,42,10.113194107170532,6.292787441853038,2.019804559798392,102.27669504930878,1.2829987099394202e-06,4.473785663009039,0.0097773839952424,4.483564330002992
Superconductor,xgboost,native_fi,0.5,2,42,9.861171528918172,6.059400291423502,1.632866509659889,97.24270392274634,1.3130047591403129e-06,4.662091641002917,0.011866054002894,4.67395900801057
Superconductor,xgboost,baseline,1.0,2,42,9.737236950613346,5.965650680531948,1.7164073620082247,94.8137834323899,1.492007868364453e-06,5.041078387002926,0.0146169549989281,5.055696834009723
Superconductor,xgboost,native_fi,0.05,1,42,13.33068539257764,8.803053636484366,2.887015681839984,177.70717303588282,1.2630043784156442e-06,4.462242506997427,0.0174525899928994,4.479696359994705
Superconductor,xgboost,native_fi,0.1,1,42,10.9228751899861,7.113869697801081,2.2507543415171534,119.30920241601387,1.3120006769895554e-06,4.244260624007438,0.0091548990021692,4.253416835010285
Superconductor,xgboost,native_fi,0.15,1,42,10.420783176954046,6.720102569326124,2.294259689291242,108.59272202108843,1.1320080375298858e-06,4.28428622901265,0.0088268810068257,4.293114242027514
Superconductor,xgboost,native_fi,0.25,1,42,9.957769848364531,6.49078097021249,2.369567204664106,99.15718035299784,9.1099354904145e-07,4.47893477800244,0.0106814489990938,4.489617137995083
Superconductor,xgboost,native_fi,0.5,1,42,9.663976357226526,6.26099967130115,2.2990592236830465,93.39243903303326,1.4830002328380942e-06,4.665749439998763,0.0110629699920536,4.676813892991049
Superconductor,xgboost,baseline,1.0,1,42,9.57780193984158,6.19655193768256,1.967192114918142,91.73428999883312,1.6830017557367682e-06,5.039805969994632,0.0148929350107209,5.054700588007108
Superconductor,xgboost,native_fi,0.05,3,42,14.271809204881382,8.99030731346629,9.391245655522628,203.68453798053693,1.0420044418424368e-06,4.461763091007015,0.0101617009931942,4.471925834004651
Superconductor,xgboost,native_fi,0.1,3,42,11.559439319513595,7.175866931843617,10.638090691501365,133.62063738151693,8.619972504675388e-07,4.438077033992158,0.0092888440121896,4.447366740001598
Superconductor,xgboost,native_fi,0.15,3,42,11.410898390100217,6.96131374349274,10.283430110733104,130.2086020691917,8.919887477532029e-07,4.434918997008936,0.0109228670044103,4.445842756002094
Superconductor,xgboost,native_fi,0.25,3,42,11.044458500207018,6.641779851103774,11.399677866441667,121.98006356279504,1.2620002962648869e-06,4.4853022010065615,0.0111123749957187,4.4964158380025765
Superconductor,xgboost,native_fi,0.5,3,42,10.804747164852037,6.4595677827818765,10.445049071199392,116.7425612963781,1.3420067261904478e-06,4.621940994009492,0.0119393869972554,4.633881723013474
Superconductor,xgboost,baseline,1.0,3,42,10.52367531345714,6.319717011292623,10.135336247052324,110.74774210306724,1.6129924915730951e-06,4.774372137006139,0.0132706790027441,4.787644429001375
