strategy,k_pct,mean_jaccard_to_majority
custom_shap_rfe,0.05,0.7290000000000001
custom_shap_rfe,0.1,0.8291666666666667
custom_shap_rfe,0.15,0.754021978021978
custom_shap_rfe,0.25,0.8733521550912856
custom_shap_rfe,0.5,0.8973295164559066
custom_shap_rfe,1.0,1.0
hybrid_fi_custom_shap_rfe,0.05,0.84
hybrid_fi_custom_shap_rfe,0.1,0.8044444444444445
hybrid_fi_custom_shap_rfe,0.15,0.7872600732600733
hybrid_fi_custom_shap_rfe,0.25,0.8428270280444194
hybrid_fi_custom_shap_rfe,0.5,0.8909007889444645
hybrid_fi_custom_shap_rfe,1.0,1.0
native_fi,0.05,0.715
native_fi,0.1,0.9555555555555556
native_fi,0.15,0.8378937728937729
native_fi,0.25,0.8545191040843215
native_fi,0.5,0.8220160378265493
native_fi,1.0,1.0
