strategy,k_pct,mean_abs_pairwise_corr,mean_high_corr_pair_ratio_r_ge_0_8
baseline,1.0,0.28125431387201627,0.04761904761904761
custom_shap_rfe,0.05,0.0,0.0
custom_shap_rfe,0.1,0.0,0.0
custom_shap_rfe,0.15,0.04625966997395963,0.0
custom_shap_rfe,0.25,0.428509267873304,0.0
custom_shap_rfe,0.5,0.2584717558925494,0.0431111111111111
hybrid_fi_custom_shap_rfe,0.05,0.0,0.0
hybrid_fi_custom_shap_rfe,0.1,0.045295926849502094,0.0
hybrid_fi_custom_shap_rfe,0.15,0.04704699290384058,0.0
hybrid_fi_custom_shap_rfe,0.25,0.23651230049418587,0.0
hybrid_fi_custom_shap_rfe,0.5,0.302232420304822,0.05383549783549783
native_fi,0.05,0.4604816032149662,0.0
native_fi,0.1,0.29904986116349763,0.0
native_fi,0.15,0.31827318108673,0.019999999999999997
native_fi,0.25,0.39829826319029155,0.11400000000000002
native_fi,0.5,0.3321202532889931,0.06197979797979799
