dataset,model,strategy,k_pct,fold,repeat_seed,n_features_total,n_features_selected,n_features_after_fi_stage,n_features_after_shap_stage,selected_features_fi_stage,selected_features_shap_stage,selected_features
Allstate,xgboost,native_fi,0.05,2,42,131,7,7,7,cat80|cat57|cat79|cat12|cont12|cat87|cont7,cat80|cat57|cat79|cat12|cont12|cat87|cont7,cat80|cat57|cat79|cat12|cont12|cat87|cont7
Allstate,xgboost,native_fi,0.1,2,42,131,13,13,13,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94
Allstate,xgboost,native_fi,0.15,2,42,131,20,20,20,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103
Allstate,xgboost,native_fi,0.25,2,42,131,33,33,33,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37
Allstate,xgboost,native_fi,0.5,2,42,131,66,66,66,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37|cat4|cat91|cat36|cat75|cat5|cat23|cat115|cont10|cont3|cont1|cont14|cat98|cat25|cat95|cat112|cat40|cont6|cat32|cat21|cat90|cat67|cat77|cat89|cat66|cat99|cat13|cont8|cat92|cat52|cat42|cat84|cat8|cat86,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37|cat4|cat91|cat36|cat75|cat5|cat23|cat115|cont10|cont3|cont1|cont14|cat98|cat25|cat95|cat112|cat40|cont6|cat32|cat21|cat90|cat67|cat77|cat89|cat66|cat99|cat13|cont8|cat92|cat52|cat42|cat84|cat8|cat86,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37|cat4|cat91|cat36|cat75|cat5|cat23|cat115|cont10|cont3|cont1|cont14|cat98|cat25|cat95|cat112|cat40|cont6|cat32|cat21|cat90|cat67|cat77|cat89|cat66|cat99|cat13|cont8|cat92|cat52|cat42|cat84|cat8|cat86
Allstate,xgboost,baseline,1.0,2,42,131,131,131,131,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37|cat4|cat91|cat36|cat75|cat5|cat23|cat115|cont10|cont3|cont1|cont14|cat98|cat25|cat95|cat112|cat40|cont6|cat32|cat21|cat90|cat67|cat77|cat89|cat66|cat99|cat13|cont8|cat92|cat52|cat42|cat84|cat8|cat86|cat78|cat45|cat41|cat83|cat102|cat49|cat7|cat107|cat97|cat106|cat110|cat29|cat28|cat73|cat10|cat51|cat65|cat85|cont9|cat9|cont13|cat34|cat55|cat24|cat43|cat19|cat14|cat93|cat17|cat54|cat39|cat47|cat104|cat46|cat96|cat11|id|cat31|cont5|cat20|cat50|cat68|cat16|cat59|cat3|cat35|cont4|cat74|cat88|cat69|cat56|cat60|cat58|cat48|cat64|cat63|cat33|cat15|cat61|cat18|cat70|cat22|cat30|cat62|cat71,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37|cat4|cat91|cat36|cat75|cat5|cat23|cat115|cont10|cont3|cont1|cont14|cat98|cat25|cat95|cat112|cat40|cont6|cat32|cat21|cat90|cat67|cat77|cat89|cat66|cat99|cat13|cont8|cat92|cat52|cat42|cat84|cat8|cat86|cat78|cat45|cat41|cat83|cat102|cat49|cat7|cat107|cat97|cat106|cat110|cat29|cat28|cat73|cat10|cat51|cat65|cat85|cont9|cat9|cont13|cat34|cat55|cat24|cat43|cat19|cat14|cat93|cat17|cat54|cat39|cat47|cat104|cat46|cat96|cat11|id|cat31|cont5|cat20|cat50|cat68|cat16|cat59|cat3|cat35|cont4|cat74|cat88|cat69|cat56|cat60|cat58|cat48|cat64|cat63|cat33|cat15|cat61|cat18|cat70|cat22|cat30|cat62|cat71,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat109|cat1|cat94|cat53|cat108|cat101|cat6|cat111|cat82|cat103|cat113|cat76|cat44|cat26|cat114|cat100|cat27|cont11|cat38|cat105|cat2|cat116|cat37|cat4|cat91|cat36|cat75|cat5|cat23|cat115|cont10|cont3|cont1|cont14|cat98|cat25|cat95|cat112|cat40|cont6|cat32|cat21|cat90|cat67|cat77|cat89|cat66|cat99|cat13|cont8|cat92|cat52|cat42|cat84|cat8|cat86|cat78|cat45|cat41|cat83|cat102|cat49|cat7|cat107|cat97|cat106|cat110|cat29|cat28|cat73|cat10|cat51|cat65|cat85|cont9|cat9|cont13|cat34|cat55|cat24|cat43|cat19|cat14|cat93|cat17|cat54|cat39|cat47|cat104|cat46|cat96|cat11|id|cat31|cont5|cat20|cat50|cat68|cat16|cat59|cat3|cat35|cont4|cat74|cat88|cat69|cat56|cat60|cat58|cat48|cat64|cat63|cat33|cat15|cat61|cat18|cat70|cat22|cat30|cat62|cat71
Allstate,xgboost,native_fi,0.05,1,42,131,7,7,7,cat80|cat57|cat79|cat12|cont12|cat87|cont7,cat80|cat57|cat79|cat12|cont12|cat87|cont7,cat80|cat57|cat79|cat12|cont12|cat87|cont7
Allstate,xgboost,native_fi,0.1,1,42,131,13,13,13,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108
Allstate,xgboost,native_fi,0.15,1,42,131,20,20,20,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108|cat94|cat1|cat101|cat6|cont11|cat111|cat82,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108|cat94|cat1|cat101|cat6|cont11|cat111|cat82,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108|cat94|cat1|cat101|cat6|cont11|cat111|cat82
Allstate,xgboost,native_fi,0.25,1,42,131,33,33,33,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108|cat94|cat1|cat101|cat6|cont11|cat111|cat82|cat103|cat76|cat44|cat27|cat38|cat26|cat114|cat113|cat100|cat2|cat91|cat5|cont3,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108|cat94|cat1|cat101|cat6|cont11|cat111|cat82|cat103|cat76|cat44|cat27|cat38|cat26|cat114|cat113|cat100|cat2|cat91|cat5|cont3,cat80|cat57|cat79|cat12|cont12|cat87|cont7|cat81|cont2|cat72|cat53|cat109|cat108|cat94|cat1|cat101|cat6|cont11|cat111|cat82|cat103|cat76|cat44|cat27|cat38|cat26|cat114|cat113|cat100|cat2|cat91|cat5|cont3
