dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Superconductor,ridge,mi,0.5,1,42,12.835066208165395,,19.74101657763536,2.6706353329936974,0.0033728299895301,0.0003544440260156,2.674554361961782
Superconductor,ridge,mi,1.0,1,42,12.71484361594887,,17.704667571616522,0.0,0.1441445220261812,0.003367758996319,0.1475358559982851
Superconductor,ridge,rfe,0.5,1,42,16.41051198521473,,18.082523181360795,3.428527640993707,0.002694041992072,0.0004430130356922,3.431687520002015
Superconductor,ridge,rfe,1.0,1,42,12.71484361594887,,17.704667571616522,0.0,0.1441445220261812,0.003367758996319,0.1475358559982851
Superconductor,ridge,tree,0.5,1,42,18.60108800478531,,19.007541042640412,8.698644026007969,0.007379156013485,0.0004940410144627,8.7065430819639
Superconductor,ridge,tree,1.0,1,42,12.71484361594887,,17.704667571616522,0.0,0.1441445220261812,0.003367758996319,0.1475358559982851
Superconductor,ridge,shap,0.5,1,42,18.013200884185693,,18.311222444188743,0.0542403850122354,0.0034895769786089,0.0006454900139942,0.0584152270457707
Superconductor,ridge,shap,1.0,1,42,12.71484361594887,,17.704667571616522,0.0,0.1441445220261812,0.003367758996319,0.1475358559982851
Superconductor,ridge,mi,0.5,2,42,16.53043448061084,,19.778534354036665,4.781218479969539,0.002712765999604,0.0004993510083295,4.78453195997281
Superconductor,ridge,mi,1.0,2,42,12.996874760314103,,17.628661820770166,0.0,0.5769443890312687,0.0116472509689629,0.5886066579842009
Superconductor,ridge,rfe,0.5,2,42,14.023127019831463,,17.876587550555136,7.608798853005283,0.0032311039976775,0.0006390669732354,7.612696947995573
Superconductor,ridge,rfe,1.0,2,42,12.996874760314103,,17.628661820770166,0.0,0.5769443890312687,0.0116472509689629,0.5886066579842009
Superconductor,ridge,tree,0.5,2,42,15.540899209457292,,18.860448762035244,6.106030150025617,0.0022914220462553,0.000374502968043,6.108717535040341
Superconductor,ridge,tree,1.0,2,42,12.996874760314103,,17.628661820770166,0.0,0.5769443890312687,0.0116472509689629,0.5886066579842009
Superconductor,ridge,shap,0.5,2,42,13.70593687664764,,18.281591205158257,0.0404833530192263,0.0027941589942201,0.0004547860007733,0.0437543090083636
Superconductor,ridge,shap,1.0,2,42,12.996874760314103,,17.628661820770166,0.0,0.5769443890312687,0.0116472509689629,0.5886066579842009
Communities and Crime,ridge,mi,0.5,1,42,2597758616080.216,,0.1415812860186198,0.3271343459491618,0.0008499479736201,0.000120228040032,0.3281168559333309
Communities and Crime,ridge,mi,1.0,1,42,2998393740010.144,,0.1398449505370806,0.0,0.0302553420187905,0.0002005019923672,0.0304629980237223
Communities and Crime,ridge,rfe,0.5,1,42,2876418182534.9883,,0.141652152405156,0.572373668954242,0.000720451993402,0.0001024950179271,0.5732064539333805
Communities and Crime,ridge,rfe,1.0,1,42,2998393740010.144,,0.1398449505370806,0.0,0.0302553420187905,0.0002005019923672,0.0304629980237223
Communities and Crime,ridge,tree,0.5,1,42,2288074818443.131,,0.1407891187171206,0.6228771860478446,0.0009950710227712,0.0001228040200658,0.6240101190051064
Communities and Crime,ridge,tree,1.0,1,42,2998393740010.144,,0.1398449505370806,0.0,0.0302553420187905,0.0002005019923672,0.0304629980237223
Communities and Crime,ridge,shap,0.5,1,42,2382534312239.6123,,0.1414070960645205,0.0163293730001896,0.0011389200226403,0.000146357982885,0.017627285036724
Communities and Crime,ridge,shap,1.0,1,42,2998393740010.144,,0.1398449505370806,0.0,0.0302553420187905,0.0002005019923672,0.0304629980237223
Communities and Crime,ridge,mi,0.5,2,42,858732928349.11,,0.1372655174297136,0.364660617953632,0.0009156240266747,0.0001052010338753,0.3656930449651554
Communities and Crime,ridge,mi,1.0,2,42,856277785393.9126,,0.1359571377354539,0.0,0.0402860179892741,0.0002785910037346,0.0405731249484233
Communities and Crime,ridge,rfe,0.5,2,42,728052796134.673,,0.1354672651301322,0.244625260005705,0.0009879919816739,0.0001959999790415,0.2458235590020194
Communities and Crime,ridge,rfe,1.0,2,42,856277785393.9126,,0.1359571377354539,0.0,0.0402860179892741,0.0002785910037346,0.0405731249484233
Communities and Crime,ridge,tree,0.5,2,42,1014792981532.5583,,0.1358035899295321,0.594806581037119,0.0009335689828731,0.0001003809738904,0.5958847650326788
