dataset,model,strategy,k_pct,fold,repeat_seed,selected_features
Communities and Crime,ridge,mi,0.25,1,42,49|55|48|54|8|51|50|33|32|45|73|20|46|22|72|7|43|82|24|78|74|34|17|76|37
Communities and Crime,ridge,mi,0.75,1,42,49|55|48|54|8|51|50|33|32|45|73|20|46|22|72|7|43|82|24|78|74|34|17|76|37|10|15|35|27|91|13|67|79|95|25|60|77|94|68|5|66|41|125|42|30|83|36|44|28|12|88|56|89|119|75|29|38|59|90|62|65|98|16|96|99|58|57|87|6|70|61|26|64|14|63
Communities and Crime,ridge,rfe,0.25,1,42,49|63|62|85|84|55|90|87|43|7|73|76|78|72|71|69|17|24|96|66|47|12|44|18|38
Communities and Crime,ridge,rfe,0.75,1,42,49|63|62|85|84|55|90|87|43|7|73|76|78|72|71|69|17|24|96|66|47|12|44|18|38|53|26|20|46|42|33|11|25|13|95|56|68|93|89|54|94|50|16|10|64|23|70|34|35|19|61|57|59|79|80|77|99|41|39|14|30|52|86|8|120|74|92|45|32|15|27|48|82|91|75
Communities and Crime,ridge,tree,0.25,1,42,55|49|8|48|7|50|51|73|54|45|46|95|29|43|16|10|76|20|33|79|120|74|77|22|97
Communities and Crime,ridge,tree,0.75,1,42,55|49|8|48|7|50|51|73|54|45|46|95|29|43|16|10|76|20|33|79|120|74|77|22|97|81|30|31|67|83|94|92|53|52|91|93|39|32|64|19|40|96|41|60|37|58|65|27|57|82|59|5|66|118|80|23|99|56|125|71|11|72|70|34|15|78|21|38|98|119|63|44|14|6|28
Communities and Crime,ridge,shap,0.25,1,42,49|90|7|13|12|65|18|33|54|78|35|75|61|44|11|88|21|41|25|46|24|32|71|42|76
Communities and Crime,ridge,shap,0.75,1,42,49|90|7|13|12|65|18|33|54|78|35|75|61|44|11|88|21|41|25|46|24|32|71|42|76|100|53|47|95|36|59|87|68|82|62|37|60|39|64|92|83|43|57|26|66|67|23|45|22|56|58|14|17|74|28|52|97|8|63|98|40|93|19|84|72|81|79|15|70|77|50|34|94|16|96
Communities and Crime,ridge,mi,0.25,2,42,49|55|48|51|8|54|50|45|20|33|73|46|22|32|7|72|82|43|37|78|76|24|74|34|15
Communities and Crime,ridge,mi,0.75,2,42,49|55|48|51|8|54|50|45|20|33|73|46|22|32|7|72|82|43|37|78|76|24|74|34|15|10|17|35|27|79|60|25|13|67|42|77|95|30|94|65|5|41|68|91|88|75|12|38|28|83|90|29|66|44|36|31|56|119|59|18|64|98|62|71|96|89|70|125|87|93|23|26|19|63|84
Communities and Crime,ridge,rfe,0.25,2,42,49|85|84|15|5|76|7|25|26|73|72|78|55|71|69|66|96|90|87|43|62|63|64|18|24
Communities and Crime,ridge,rfe,0.75,2,42,49|85|84|15|5|76|7|25|26|73|72|78|55|71|69|66|96|90|87|43|62|63|64|18|24|17|38|68|44|12|20|46|16|93|53|70|33|23|95|36|8|79|80|65|34|9|30|88|94|54|59|58|19|86|56|32|74|75|67|47|92|35|120|39|42|41|14|40|13|11|52|37|21|91|31
Communities and Crime,ridge,tree,0.25,2,42,55|49|48|8|7|50|51|73|54|45|16|46|29|95|76|33|43|10|77|74|79|32|97|22|20
Communities and Crime,ridge,tree,0.75,2,42,55|49|48|8|7|50|51|73|54|45|16|46|29|95|76|33|43|10|77|74|79|32|97|22|20|30|67|120|31|81|92|83|52|53|37|94|93|39|40|119|91|57|19|41|66|71|65|5|82|60|118|15|23|80|27|96|68|72|34|28|56|59|21|58|11|64|70|24|14|38|42|100|99|18|6
Communities and Crime,ridge,shap,0.25,2,42,13|12|73|72|10|21|22|66|49|11|8|48|69|87|5|32|26|78|80|51|17|55|20|92|37
Communities and Crime,ridge,shap,0.75,2,42,13|12|73|72|10|21|22|66|49|11|8|48|69|87|5|32|26|78|80|51|17|55|20|92|37|56|88|89|85|118|45|24|90|59|39|18|52|60|16|57|42|70|67|82|65|54|79|74|33|14|34|35|91|46|44|9|43|64|98|47|119|81|62|76|29|41|58|6|99|77|95|38|120|93|94
Communities and Crime,ridge,mi,0.25,3,42,49|55|48|8|54|45|50|51|33|32|20|22|73|46|7|72|43|24|78|82|37|74|34|17|76
Communities and Crime,ridge,mi,0.5,3,42,49|55|48|8|54|45|50|51|33|32|20|22|73|46|7|72|43|24|78|82|37|74|34|17|76|35|94|27|67|25|15|79|10|5|13|41|95|12|28|42|60|88|36|68|75|77|44|125|65|38
Communities and Crime,ridge,mi,0.75,3,42,49|55|48|8|54|45|50|51|33|32|20|22|73|46|7|72|43|24|78|82|37|74|34|17|76|35|94|27|67|25|15|79|10|5|13|41|95|12|28|42|60|88|36|68|75|77|44|125|65|38|119|30|91|59|96|66|89|56|16|83|29|18|31|71|90|62|70|64|58|26|87|6|98|85|57
Communities and Crime,ridge,mi,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,3,42,49|45|46|43|15|5|85|84|7|73|90|87|63|62|76|55|78|72|71|69|70|17|24|16|20
Communities and Crime,ridge,rfe,0.5,3,42,49|45|46|43|15|5|85|84|7|73|90|87|63|62|76|55|78|72|71|69|70|17|24|16|20|66|12|89|44|18|68|95|10|38|96|93|53|33|23|26|56|42|74|52|61|21|39|41|120|30
Communities and Crime,ridge,rfe,0.75,3,42,49|45|46|43|15|5|85|84|7|73|90|87|63|62|76|55|78|72|71|69|70|17|24|16|20|66|12|89|44|18|68|95|10|38|96|93|53|33|23|26|56|42|74|52|61|21|39|41|120|30|50|79|80|34|8|47|99|77|19|31|125|75|64|92|32|54|94|91|35|36|28|40|118|27|81
Communities and Crime,ridge,rfe,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,3,42,55|49|8|48|7|50|51|54|73|16|45|46|20|95|76|79|43|29|33|74|22|10|31|30|77
Communities and Crime,ridge,tree,0.5,3,42,55|49|8|48|7|50|51|54|73|16|45|46|20|95|76|79|43|29|33|74|22|10|31|30|77|83|92|97|32|93|27|120|53|81|94|91|67|40|52|118|82|39|66|71|37|125|60|41|23|19
Communities and Crime,ridge,tree,0.75,3,42,55|49|8|48|7|50|51|54|73|16|45|46|20|95|76|79|43|29|33|74|22|10|31|30|77|83|92|97|32|93|27|120|53|81|94|91|67|40|52|118|82|39|66|71|37|125|60|41|23|19|119|28|57|99|34|59|5|72|100|96|80|65|58|68|98|24|18|38|11|15|70|78|42|21|69
Communities and Crime,ridge,tree,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,3,42,66|34|47|69|65|12|42|26|89|76|82|55|87|74|35|7|5|18|63|43|53|38|33|54|41
Communities and Crime,ridge,shap,0.5,3,42,66|34|47|69|65|12|42|26|89|76|82|55|87|74|35|7|5|18|63|43|53|38|33|54|41|67|88|86|68|17|60|15|11|120|52|45|8|24|73|93|96|78|100|46|39|9|16|31|23|92
Communities and Crime,ridge,shap,0.75,3,42,66|34|47|69|65|12|42|26|89|76|82|55|87|74|35|7|5|18|63|43|53|38|33|54|41|67|88|86|68|17|60|15|11|120|52|45|8|24|73|93|96|78|100|46|39|9|16|31|23|92|20|56|14|70|6|97|71|49|99|125|61|58|32|118|21|75|36|95|81|80|37|27|44|94|40
Communities and Crime,ridge,shap,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,4,42,49|55|48|54|8|50|51|20|33|45|32|73|22|7|46|72|43|82|24|78|74|76|37|34|15
Communities and Crime,ridge,mi,0.5,4,42,49|55|48|54|8|50|51|20|33|45|32|73|22|7|46|72|43|82|24|78|74|76|37|34|15|35|17|27|94|10|42|79|67|25|56|95|88|68|77|60|5|30|65|13|12|44|91|41|36|83
Communities and Crime,ridge,mi,0.75,4,42,49|55|48|54|8|50|51|20|33|45|32|73|22|7|46|72|43|82|24|78|74|76|37|34|15|35|17|27|94|10|42|79|67|25|56|95|88|68|77|60|5|30|65|13|12|44|91|41|36|83|62|75|59|119|64|125|98|26|38|29|18|87|31|66|89|58|63|6|71|70|16|28|61|84|96
Communities and Crime,ridge,mi,1.0,4,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,4,42,49|15|5|7|73|76|85|84|55|90|87|43|78|72|71|69|96|66|89|16|20|12|44|24|18
Communities and Crime,ridge,rfe,0.5,4,42,49|15|5|7|73|76|85|84|55|90|87|43|78|72|71|69|96|66|89|16|20|12|44|24|18|38|46|17|10|95|63|64|68|93|53|26|42|33|70|23|54|79|80|94|11|52|88|61|32|39
Communities and Crime,ridge,rfe,0.75,4,42,49|15|5|7|73|76|85|84|55|90|87|43|78|72|71|69|96|66|89|16|20|12|44|24|18|38|46|17|10|95|63|64|68|93|53|26|42|33|70|23|54|79|80|94|11|52|88|61|32|39|41|34|35|60|59|57|50|74|45|120|14|19|13|62|56|77|91|86|30|47|92|29|28|25|75
Communities and Crime,ridge,rfe,1.0,4,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,4,42,55|49|8|48|7|50|51|16|54|45|73|95|76|29|46|10|33|79|74|20|43|77|67|31|81
Communities and Crime,ridge,tree,0.5,4,42,55|49|8|48|7|50|51|16|54|45|73|95|76|29|46|10|33|79|74|20|43|77|67|31|81|22|32|120|53|83|97|30|91|92|93|39|94|15|27|71|40|60|118|72|52|41|82|119|23|57
Communities and Crime,ridge,tree,0.75,4,42,55|49|8|48|7|50|51|16|54|45|73|95|76|29|46|10|33|79|74|20|43|77|67|31|81|22|32|120|53|83|97|30|91|92|93|39|94|15|27|71|40|60|118|72|52|41|82|119|23|57|100|5|98|80|65|21|19|96|37|59|58|42|24|69|28|99|34|68|66|13|78|56|63|18|11
Communities and Crime,ridge,tree,1.0,4,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,4,42,7|90|34|49|26|74|69|10|17|84|87|86|48|47|33|72|73|61|50|76|64|98|93|25|60
Communities and Crime,ridge,shap,0.5,4,42,7|90|34|49|26|74|69|10|17|84|87|86|48|47|33|72|73|61|50|76|64|98|93|25|60|24|53|70|15|99|14|68|82|54|55|92|94|18|125|88|20|6|35|45|36|57|59|66|119|27
Communities and Crime,ridge,shap,0.75,4,42,7|90|34|49|26|74|69|10|17|84|87|86|48|47|33|72|73|61|50|76|64|98|93|25|60|24|53|70|15|99|14|68|82|54|55|92|94|18|125|88|20|6|35|45|36|57|59|66|119|27|41|75|62|29|23|97|85|21|16|81|77|120|89|30|100|42|71|43|79|13|51|67|32|80|12
Communities and Crime,ridge,shap,1.0,4,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,5,42,49|55|48|54|51|8|50|32|20|73|45|33|22|46|43|82|7|24|72|74|78|37|34|76|17
Communities and Crime,ridge,mi,0.5,5,42,49|55|48|54|51|8|50|32|20|73|45|33|22|46|43|82|7|24|72|74|78|37|34|76|17|15|35|25|10|27|67|5|79|94|41|95|13|42|36|12|65|60|91|56|125|75|77|30|88|38
Communities and Crime,ridge,mi,0.75,5,42,49|55|48|54|51|8|50|32|20|73|45|33|22|46|43|82|7|24|72|74|78|37|34|76|17|15|35|25|10|27|67|5|79|94|41|95|13|42|36|12|65|60|91|56|125|75|77|30|88|38|68|59|66|44|26|62|64|29|89|63|87|83|71|28|119|90|31|58|98|61|70|84|93|21|96
Communities and Crime,ridge,mi,1.0,5,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,5,42,49|85|84|7|73|25|26|76|78|72|55|20|71|88|87|34|12|44|90|66|65|89|69|43|24
Communities and Crime,ridge,rfe,0.5,5,42,49|85|84|7|73|25|26|76|78|72|55|20|71|88|87|34|12|44|90|66|65|89|69|43|24|17|33|68|18|70|16|15|5|23|46|93|38|53|95|96|56|86|32|54|19|10|31|94|11|74
Communities and Crime,ridge,rfe,0.75,5,42,49|85|84|7|73|25|26|76|78|72|55|20|71|88|87|34|12|44|90|66|65|89|69|43|24|17|33|68|18|70|16|15|5|23|46|93|38|53|95|96|56|86|32|54|19|10|31|94|11|74|52|63|35|62|58|59|47|42|21|79|80|41|39|8|125|77|30|50|36|57|118|9|28|83|100
Communities and Crime,ridge,rfe,1.0,5,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,5,42,55|49|8|48|7|50|51|16|54|45|73|20|46|29|76|10|33|43|95|120|74|79|22|31|125
Communities and Crime,ridge,tree,0.5,5,42,55|49|8|48|7|50|51|16|54|45|73|20|46|29|76|10|33|43|95|120|74|79|22|31|125|32|81|97|30|93|67|27|77|91|83|15|118|53|19|41|39|92|94|82|119|52|40|42|65|5
Communities and Crime,ridge,tree,0.75,5,42,55|49|8|48|7|50|51|16|54|45|73|20|46|29|76|10|33|43|95|120|74|79|22|31|125|32|81|97|30|93|67|27|77|91|83|15|118|53|19|41|39|92|94|82|119|52|40|42|65|5|57|66|59|70|72|21|100|37|23|24|44|60|56|14|80|13|78|28|71|96|98|11|58|34|18
Communities and Crime,ridge,tree,1.0,5,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,5,42,18|59|17|87|98|57|88|49|58|76|54|67|68|60|8|90|92|33|72|119|69|82|34|37|55
Communities and Crime,ridge,shap,0.5,5,42,18|59|17|87|98|57|88|49|58|76|54|67|68|60|8|90|92|33|72|119|69|82|34|37|55|20|32|26|65|12|35|23|22|85|52|99|43|96|73|89|125|93|40|31|95|86|25|81|78|41
Communities and Crime,ridge,shap,0.75,5,42,18|59|17|87|98|57|88|49|58|76|54|67|68|60|8|90|92|33|72|119|69|82|34|37|55|20|32|26|65|12|35|23|22|85|52|99|43|96|73|89|125|93|40|31|95|86|25|81|78|41|9|97|38|7|16|45|13|77|10|21|28|15|6|70|19|120|100|42|62|29|5|71|63|64|61
Communities and Crime,ridge,shap,1.0,5,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,6,42,49|55|48|54|8|50|51|33|45|32|73|22|46|7|20|43|78|72|24|82|74|37|34|76|17
Communities and Crime,ridge,mi,0.5,6,42,49|55|48|54|8|50|51|33|45|32|73|22|46|7|20|43|78|72|24|82|74|37|34|76|17|27|75|15|94|35|10|67|79|13|25|56|41|44|42|12|5|95|30|31|77|28|91|60|59|36
Communities and Crime,ridge,mi,0.75,6,42,49|55|48|54|8|50|51|33|45|32|73|22|46|7|20|43|78|72|24|82|74|37|34|76|17|27|75|15|94|35|10|67|79|13|25|56|41|44|42|12|5|95|30|31|77|28|91|60|59|36|29|62|38|66|65|83|88|71|68|58|90|125|61|87|98|89|64|26|119|70|16|85|18|99|6
Communities and Crime,ridge,mi,1.0,6,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,6,42,49|85|84|55|73|66|96|78|72|71|69|76|90|87|43|7|18|38|24|17|53|26|33|46|36
Communities and Crime,ridge,rfe,0.5,6,42,49|85|84|55|73|66|96|78|72|71|69|76|90|87|43|7|18|38|24|17|53|26|33|46|36|67|44|12|20|93|15|95|70|88|89|62|63|16|21|34|23|10|54|32|68|56|94|61|57|60
Communities and Crime,ridge,rfe,0.75,6,42,49|85|84|55|73|66|96|78|72|71|69|76|90|87|43|7|18|38|24|17|53|26|33|46|36|67|44|12|20|93|15|95|70|88|89|62|63|16|21|34|23|10|54|32|68|56|94|61|57|60|92|35|120|39|42|40|41|79|80|30|52|74|14|75|48|19|125|91|77|86|28|22|29|118|31
Communities and Crime,ridge,rfe,1.0,6,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,6,42,55|49|48|8|50|7|51|73|45|54|95|46|16|29|43|20|10|76|22|33|79|30|74|31|120
Communities and Crime,ridge,tree,0.5,6,42,55|49|48|8|50|7|51|73|45|54|95|46|16|29|43|20|10|76|22|33|79|30|74|31|120|97|81|93|92|83|67|39|91|77|53|32|52|94|118|125|27|99|60|66|40|72|57|80|98|71
Communities and Crime,ridge,tree,0.75,6,42,55|49|48|8|50|7|51|73|45|54|95|46|16|29|43|20|10|76|22|33|79|30|74|31|120|97|81|93|92|83|67|39|91|77|53|32|52|94|118|125|27|99|60|66|40|72|57|80|98|71|41|59|65|19|58|9|56|96|38|34|119|15|68|70|28|23|37|100|11|5|42|18|78|14|82
Communities and Crime,ridge,tree,1.0,6,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,6,42,48|38|49|20|90|33|14|88|10|59|26|66|67|87|62|37|45|34|32|35|25|42|76|70|6
Communities and Crime,ridge,shap,0.5,6,42,48|38|49|20|90|33|14|88|10|59|26|66|67|87|62|37|45|34|32|35|25|42|76|70|6|82|64|57|15|84|55|85|53|46|78|71|50|91|97|83|72|8|11|118|54|120|41|52|86|47
Communities and Crime,ridge,shap,0.75,6,42,48|38|49|20|90|33|14|88|10|59|26|66|67|87|62|37|45|34|32|35|25|42|76|70|6|82|64|57|15|84|55|85|53|46|78|71|50|91|97|83|72|8|11|118|54|120|41|52|86|47|69|12|80|9|22|92|73|74|68|28|16|31|39|24|17|51|21|75|119|44|95|43|96|89|77
Communities and Crime,ridge,shap,1.0,6,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,7,42,49|55|48|8|54|50|51|32|33|22|45|73|46|20|7|72|43|82|24|78|74|37|34|17|10
Communities and Crime,ridge,mi,0.5,7,42,49|55|48|8|54|50|51|32|33|22|45|73|46|20|7|72|43|82|24|78|74|37|34|17|10|76|35|27|5|25|13|67|94|15|125|75|60|41|42|12|65|79|95|68|119|83|28|30|59|91
Communities and Crime,ridge,mi,0.75,7,42,49|55|48|8|54|50|51|32|33|22|45|73|46|20|7|72|43|82|24|78|74|37|34|17|10|76|35|27|5|25|13|67|94|15|125|75|60|41|42|12|65|79|95|68|119|83|28|30|59|91|88|64|29|36|38|89|44|56|62|87|77|96|16|71|90|63|66|98|70|58|99|40|120|31|14
Communities and Crime,ridge,mi,1.0,7,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,7,42,49|63|62|7|73|25|26|76|90|87|55|84|86|43|78|72|71|69|96|66|12|44|20|17|24
Communities and Crime,ridge,rfe,0.5,7,42,49|63|62|7|73|25|26|76|90|87|55|84|86|43|78|72|71|69|96|66|12|44|20|17|24|18|38|46|93|53|10|89|68|95|15|16|42|33|70|5|23|11|13|21|34|35|32|54|65|74
Communities and Crime,ridge,rfe,0.75,7,42,49|63|62|7|73|25|26|76|90|87|55|84|86|43|78|72|71|69|96|66|12|44|20|17|24|18|38|46|93|53|10|89|68|95|15|16|42|33|70|5|23|11|13|21|34|35|32|54|65|74|19|80|48|56|59|58|52|50|30|41|39|94|120|79|75|92|47|8|91|77|85|99|9|28|125
Communities and Crime,ridge,rfe,1.0,7,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,7,42,55|49|8|48|7|50|51|73|16|54|45|29|10|46|20|74|95|76|43|22|97|33|30|120|79
Communities and Crime,ridge,tree,0.5,7,42,55|49|8|48|7|50|51|73|16|54|45|29|10|46|20|74|95|76|43|22|97|33|30|120|79|31|53|81|52|67|32|93|83|77|64|39|96|27|82|92|91|65|66|37|119|60|41|71|19|40
Communities and Crime,ridge,tree,0.75,7,42,55|49|8|48|7|50|51|73|16|54|45|29|10|46|20|74|95|76|43|22|97|33|30|120|79|31|53|81|52|67|32|93|83|77|64|39|96|27|82|92|91|65|66|37|119|60|41|71|19|40|59|23|118|18|80|11|57|100|28|5|98|72|99|125|38|94|15|56|58|70|14|13|68|34|78
Communities and Crime,ridge,tree,1.0,7,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,7,42,35|21|17|73|69|6|64|49|56|44|14|46|59|72|34|68|16|84|47|66|95|63|74|48|45
Communities and Crime,ridge,shap,0.5,7,42,35|21|17|73|69|6|64|49|56|44|14|46|59|72|34|68|16|84|47|66|95|63|74|48|45|13|40|88|50|100|90|52|76|15|87|91|79|5|41|98|58|18|78|93|118|7|61|77|39|60
Communities and Crime,ridge,shap,0.75,7,42,35|21|17|73|69|6|64|49|56|44|14|46|59|72|34|68|16|84|47|66|95|63|74|48|45|13|40|88|50|100|90|52|76|15|87|91|79|5|41|98|58|18|78|93|118|7|61|77|39|60|120|37|12|99|92|96|31|53|83|57|75|80|36|9|89|43|20|97|86|38|125|42|24|22|70
Communities and Crime,ridge,shap,1.0,7,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,8,42,49|55|48|8|54|50|32|20|51|45|73|33|22|46|72|43|7|82|24|34|78|17|74|37|27
