dataset,dataset_instance,k_pct,fold,repeat_seed,strategy_a,strategy_b,rmse_a,rmse_b,rmse_abs_diff,rmse_rel_diff,mae_abs_diff,jaccard,n_sym_diff,n_features_a,n_features_b
Allstate,Exp2B-Allstate,0.15,8,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1843.7650413298657,1843.6134906329696,0.15155069689603806,8.219631758867062e-05,0.04820270262825943,1.0,0,20,20
Allstate,Exp2B-Allstate,0.15,7,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1969.8260834609769,1969.9920888505064,0.16600538952957322,8.427413512461079e-05,0.06444480902473515,1.0,0,20,20
Superconductor,Exp2A-Superconductor,0.5,4,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,10.082122460428453,10.083104882971217,0.0009824225427639277,9.744203629938635e-05,0.020024087125360523,0.8604651162790697,6,40,40
Allstate,Exp2B-Allstate,0.5,4,123,native_fi,hybrid_fi_custom_shap_rfe,1925.117701137832,1925.305614733104,0.18791359527199347,9.761148378664224e-05,0.43242817505188214,0.6923076923076923,24,66,66
Allstate,Exp2B-Allstate,0.5,10,256,native_fi,hybrid_fi_custom_shap_rfe,1902.575317739802,1902.8110398335464,0.23572209374447084,0.00012389632701873853,2.0486879760162537,0.76,18,66,66
Allstate,Exp2B-Allstate,0.5,10,512,native_fi,hybrid_fi_custom_shap_rfe,1867.8587388624144,1867.621276637706,0.23746222470845169,0.000127130719131937,0.4382679123066282,0.76,18,66,66
Allstate,Exp2B-Allstate,0.5,2,512,native_fi,hybrid_fi_custom_shap_rfe,1885.5759149559412,1885.8246855688408,0.24877061289953417,0.0001319334909437189,1.3884458732768508,0.6708860759493671,26,66,66
Superconductor,Exp2A-Superconductor,0.25,2,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,9.5721286807768,9.573421518747208,0.001292837970408911,0.00013506274450794306,0.023326363155793395,0.8181818181818182,4,20,20
Superconductor,Exp2A-Superconductor,0.15,7,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,10.657914245110486,10.65633794440899,0.0015763007014957253,0.0001478995481896359,0.0359163372940543,0.7142857142857143,4,12,12
Allstate,Exp2B-Allstate,0.15,6,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1910.8273980277067,1911.1183822028472,0.2909841751404656,0.00015228176832758934,0.2702113496561651,1.0,0,20,20
Allstate,Exp2B-Allstate,0.5,4,123,native_fi,custom_shap_rfe,1925.117701137832,1925.411774046721,0.2940729088888929,0.00015275580745794528,1.5497274396534522,0.6923076923076923,24,66,66
Superconductor,Exp2A-Superconductor,0.15,6,123,native_fi,custom_shap_rfe,10.483375792977188,10.48502329893548,0.001647505958292328,0.0001571541448887096,0.00646787572736951,0.4117647058823529,10,12,12
Allstate,Exp2B-Allstate,0.15,8,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,2168.527641152304,2168.905066824213,0.3774256719088953,0.0001740469730458867,0.23540004188976127,1.0,0,20,20
Allstate,Exp2B-Allstate,0.15,8,123,native_fi,custom_shap_rfe,2168.9099346852004,2168.527641152304,0.3822935328962558,0.00017626067674946704,66.47409888877633,0.5384615384615384,12,20,20
Superconductor,Exp2A-Superconductor,0.05,6,42,native_fi,custom_shap_rfe,13.292342770442696,13.28987736102894,0.0024654094137552818,0.00018547591318796337,0.007273167119425494,1.0,0,4,4
Allstate,Exp2B-Allstate,0.15,5,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1868.9143954914368,1868.5655520449009,0.348843446535966,0.00018665565816043518,0.1620390575219517,1.0,0,20,20
Allstate,Exp2B-Allstate,0.5,4,999,native_fi,hybrid_fi_custom_shap_rfe,2052.2258994379927,2052.616024367733,0.39012492974052293,0.00019009843402101087,2.418998903649026,0.76,18,66,66
Allstate,Exp2B-Allstate,0.15,10,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1887.5803415654143,1887.9500729189335,0.3697313535192279,0.00019587582333719427,0.21383404292396335,1.0,0,20,20
Superconductor,Exp2A-Superconductor,0.25,9,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,10.083183090979912,10.081108930959209,0.00207416002070282,0.00020570488525179078,0.03464614344943939,0.8181818181818182,4,20,20
Allstate,Exp2B-Allstate,0.5,9,512,native_fi,custom_shap_rfe,1882.6572874869487,1882.2698559861767,0.3874315007719815,0.00020578971188598091,1.7295919004898224,0.76,18,66,66
Allstate,Exp2B-Allstate,0.15,10,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1882.062468300438,1881.6656353590213,0.39683294141673287,0.00021085003718026722,1.981199760783511,0.9047619047619048,2,20,20
Allstate,Exp2B-Allstate,0.5,1,123,native_fi,hybrid_fi_custom_shap_rfe,1950.4471063116064,1950.8655585262456,0.41845221463927373,0.00021454168804945853,0.6930208546807535,0.7837837837837838,16,66,66
Allstate,Exp2B-Allstate,0.5,9,999,native_fi,custom_shap_rfe,1872.8114157091663,1872.39858566944,0.4128300397262592,0.00022043332086906108,0.16848811052932433,0.7368421052631579,20,66,66
Allstate,Exp2B-Allstate,0.15,4,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1899.67707735213,1899.2533717242827,0.4237056278473119,0.00022304086989242147,0.12152571970659665,1.0,0,20,20
Superconductor,Exp2A-Superconductor,0.1,6,999,native_fi,hybrid_fi_custom_shap_rfe,10.907664405501489,10.905158238953584,0.002506166547904698,0.00022976197788416236,0.09057483958462331,0.6,4,8,8
Allstate,Exp2B-Allstate,0.5,6,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1938.2758917189328,1938.727951980928,0.45206026199525695,0.000233228026993801,0.38862839665580395,0.8591549295774648,10,66,66
Allstate,Exp2B-Allstate,0.25,3,512,native_fi,hybrid_fi_custom_shap_rfe,1890.4424025140488,1889.9911156807227,0.451286833326094,0.00023872022375605822,0.2891735137186515,0.8333333333333334,6,33,33
Allstate,Exp2B-Allstate,0.5,6,256,native_fi,custom_shap_rfe,1938.7422959667051,1938.2758917189328,0.4664042477722887,0.00024057052282945525,0.9451352843975656,0.76,18,66,66
Allstate,Exp2B-Allstate,0.25,10,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1890.975019801781,1891.4311125976828,0.45609279590189544,0.00024119451136361643,8.415787117361333,0.7837837837837838,8,33,33
Superconductor,Exp2A-Superconductor,0.1,6,123,native_fi,custom_shap_rfe,10.83584323600872,10.838579787940184,0.0027365519314628273,0.00025254628291123283,0.030742496903168437,0.45454545454545453,6,8,8
Allstate,Exp2B-Allstate,0.15,9,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1886.837890126594,1887.3352498540503,0.4973597274563417,0.0002635943077351347,0.04805972573467443,1.0,0,20,20
Allstate,Exp2B-Allstate,0.25,7,512,native_fi,custom_shap_rfe,1864.695466689731,1865.187302899413,0.4918362096821056,0.0002637622166558004,5.3835876687826385,0.6923076923076923,12,33,33
Superconductor,Exp2A-Superconductor,0.5,7,512,native_fi,hybrid_fi_custom_shap_rfe,10.342512990432892,10.339711644445892,0.0028013459870006585,0.0002708573815272923,0.0024819068054604543,0.6666666666666666,16,40,40
Allstate,Exp2B-Allstate,0.5,2,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1864.94387360534,1864.4200017332848,0.5238718720552242,0.0002809048998576384,2.1309835654672042,0.8591549295774648,10,66,66
Superconductor,Exp2A-Superconductor,0.25,5,512,native_fi,hybrid_fi_custom_shap_rfe,10.025085741532116,10.022256334338822,0.0028294071932943865,0.00028223271762880435,0.04831627365069302,0.6,10,20,20
Allstate,Exp2B-Allstate,0.25,6,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1919.5920708431877,1919.04301668993,0.5490541532576572,0.00028602647489395135,8.516037082979892,0.7368421052631579,10,33,33
Allstate,Exp2B-Allstate,0.15,5,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1949.2489877069088,1949.8091899978267,0.5602022909179141,0.00028739391142479674,0.26266688318492015,1.0,0,20,20
Allstate,Exp2B-Allstate,0.5,7,123,native_fi,hybrid_fi_custom_shap_rfe,1944.8111988235053,1945.3878180953916,0.5766192718863294,0.0002964911309823543,0.8077636596888169,0.7368421052631579,20,66,66
Allstate,Exp2B-Allstate,0.5,5,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1845.9788272269504,1846.5281485141693,0.5493212872188451,0.00029757724147033774,0.3488537423938851,0.8333333333333334,12,66,66
Superconductor,Exp2A-Superconductor,0.05,2,256,native_fi,hybrid_fi_custom_shap_rfe,14.243663014745184,14.239260570641244,0.004402444103940084,0.00030908089438669176,0.03290608216766877,0.6,2,4,4
Allstate,Exp2B-Allstate,0.25,5,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1947.7313439363995,1948.3435023799789,0.6121584435793466,0.00031429305971025935,13.756220349981504,0.7837837837837838,8,33,33
Allstate,Exp2B-Allstate,0.15,2,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1891.9361564417168,1892.5467337404723,0.6105772987555156,0.00032272616424005907,0.046040876286042476,1.0,0,20,20
Allstate,Exp2B-Allstate,0.25,9,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1928.537780036948,1927.9006031970905,0.6371768398576023,0.0003303937555454034,10.246272566834477,0.7837837837837838,8,33,33
Allstate,Exp2B-Allstate,0.25,1,999,native_fi,hybrid_fi_custom_shap_rfe,1865.340926480581,1864.7201416044,0.6207848761810055,0.0003327996868391598,5.000198945310331,0.7368421052631579,10,33,33
Allstate,Exp2B-Allstate,0.5,3,42,native_fi,hybrid_fi_custom_shap_rfe,1974.8275259215343,1975.4973815903788,0.6698556688445478,0.0003391970488825175,2.0896137794356946,0.7368421052631579,20,66,66
Allstate,Exp2B-Allstate,0.25,10,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1967.8292794128156,1967.1545146035687,0.6747648092468808,0.0003428980431921539,9.588168299404742,0.8857142857142857,4,33,33
Superconductor,Exp2A-Superconductor,0.5,3,256,native_fi,custom_shap_rfe,9.673244217149785,9.669875385403486,0.0033688317462985395,0.0003482628651436202,0.004865607028058605,0.5686274509803921,22,40,40
Allstate,Exp2B-Allstate,0.5,4,256,native_fi,custom_shap_rfe,1929.884320750409,1929.2081062960783,0.6762144543306476,0.0003503911851399005,1.620776595096686,0.7142857142857143,22,66,66
Superconductor,Exp2A-Superconductor,0.5,9,512,native_fi,custom_shap_rfe,9.897052190072596,9.900546887288916,0.0034946972163201195,0.00035310485882104713,0.07119940799199931,0.6,20,40,40
Superconductor,Exp2A-Superconductor,0.25,6,999,native_fi,custom_shap_rfe,9.946324365146864,9.94987745435404,0.0035530892071751197,0.0003572263558612243,0.02692331918481461,0.48148148148148145,14,20,20
