dataset,model,strategy,rmse,mape,selection_time_s,total_time_s
Bike Sharing,extratrees,tree,58.682992659953236,0.4204435481309031,1.6235611501922602,3.1385043732258984
Bike Sharing,ridge,rfe,143.43653578807488,3.471163854258237,0.05372075067789363,0.05679389285580996
Bike Sharing,xgboost,tree,57.54195299515357,0.4726428584410594,1.9284898322355493,2.935876816264423
Communities and Crime,extratrees,tree,0.1344407528376734,1990178950927.5264,1.5295449290672565,2.900354134076858
Communities and Crime,ridge,rfe,0.1367402120499442,1870146990906.208,0.799373456865428,0.8357532854327118
Communities and Crime,xgboost,mi,0.1383999756204192,2035965098763.952,1.1297995520529365,2.255788510601035
Superconductor,extratrees,rfe,9.242511623605122,4.54427950375343,1.0803191550096012,6.743122255706724
Superconductor,ridge,rfe,19.034535628407756,17.38451035306807,1.6656052735529085,1.6906133811634896
Superconductor,xgboost,shap,10.208462470667541,7.2290241674505475,22.862348893730786,24.19567502228843
