dataset_instance,k_pct,strategy,rmse,mae,mape,selection_time_s,train_time_s,predict_time_s,total_time_s
Exp2A-Superconductor,0.05,custom_shap_rfe,13.480413457781088,8.694969422516147,8.207824495787309,1.7334780714008958e-05,3.980371983819059,0.010148854740255004,3.990538173340028
Exp2A-Superconductor,0.05,hybrid_fi_custom_shap_rfe,13.510114684339547,8.660977779427,8.342326570691764,94.15850413263921,4.014982292419882,0.010175900620815758,98.1836623256799
Exp2A-Superconductor,0.05,native_fi,13.439960818113363,8.688666452178753,8.253378096795345,1.358319423161447e-06,4.0038708887805115,0.011290189597348161,4.015162436697283
Exp2A-Superconductor,0.1,custom_shap_rfe,11.0984668707605,7.012099186509669,7.6100014178813,1.3679639378096909e-05,4.008595613159414,0.0104032706591533,4.019012563457945
Exp2A-Superconductor,0.1,hybrid_fi_custom_shap_rfe,11.150525432353588,7.052952067408057,7.813413108251687,96.73866119467974,4.043460419879702,0.010245086460781705,100.79236670102021
Exp2A-Superconductor,0.1,native_fi,11.204010464594505,7.108536641377421,7.833986354626956,1.1011186870746315e-06,4.063012325040181,0.010109233962721143,4.073122660121589
Exp2A-Superconductor,0.15,custom_shap_rfe,10.70007466242048,6.736163869984053,7.420124715587559,1.3416560541372747e-05,4.032904132660187,0.010398558481247107,4.043316107701976
Exp2A-Superconductor,0.15,hybrid_fi_custom_shap_rfe,10.698222094961856,6.734439057761302,7.249920268426802,100.48784757811896,3.9800200493997546,0.010266039460839189,104.47813366697956
Exp2A-Superconductor,0.15,native_fi,10.704840327462078,6.733944168956592,7.5456375897730155,1.2617206084541976e-06,4.105035932761093,0.010259916521608776,4.1152971110033105
Exp2A-Superconductor,0.25,custom_shap_rfe,10.346394603572996,6.48108439188908,7.23019689041347,1.2546501238830388e-05,4.132564096219139,0.010645536920346733,4.143222179640725
Exp2A-Superconductor,0.25,hybrid_fi_custom_shap_rfe,10.340938629320224,6.477424222400629,7.264603355730375,107.05202657900023,4.020481316759833,0.010590269539970857,111.08309816530003
Exp2A-Superconductor,0.25,native_fi,10.295364060884944,6.462336041474239,7.513853322062959,1.151219184976071e-06,4.1769129081824214,0.010782699959236157,4.1876967593608425
Exp2A-Superconductor,0.5,custom_shap_rfe,10.0554982965519,6.266081479652222,7.375954771061663,1.2103878543712198e-05,4.267125218661095,0.011903079719631884,4.2790404022592705
Exp2A-Superconductor,0.5,hybrid_fi_custom_shap_rfe,10.045281590408496,6.25191351777963,7.240229684605267,126.72053868479998,4.023101415120181,0.012759917160146827,130.7564000170803
Exp2A-Superconductor,0.5,native_fi,10.07935556376389,6.271719506619949,7.080491100744057,1.6491208225488663e-06,4.277098969760991,0.012184612379642157,4.289285231261456
Exp2A-Superconductor,1.0,baseline,9.935843370661683,6.159749627382004,7.2220984949314335,1.9619788508862258e-06,4.492750280500623,0.014662042159470676,4.507414284638944
Exp2B-Allstate,0.05,custom_shap_rfe,2277.812254126444,1408.6426088649957,0.7291189247578355,3.501323808450252e-05,7.471337641997379,0.04497620111971624,7.51634885635518
